stage,epidermis,eye,glial,hatching_gland,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,pronephros,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,20.89,0,0,0,9.53,4.44,0,0,0,0,0
 14-21,0,0,2.43,0,0,0,1.26,2.91,0,0,0,0,1.9,0
 24-34,0,0,2.45,0,0,2.34,0,5.66,0,3.43,0,6.9,17.2,0
 36-46,0,0.72,3.57,0,0,0,0,8.98,0,0.76,0,0,5.68,0
 48-58,0,0,2.76,0,0.97,0,0,2.37,0,1.62,0,0.49,8.05,0
 60-70,0,0,4.83,0,0,0,0.99,6.46,0,0,0.99,0,9.71,0
 72-82,0,0,4.27,0,0,0,0.91,0,0,2.46,5.11,0.57,1.23,0.66
 84-94,0,0,1.62,0,0,0,0,3.31,0,3.1,0,0,3.85,0
 96-106,0,0,6.02,0,3.22,0,0,1.01,0,0,0,0,0,0
108-118,1.93,0,7.29,0,0,0,0,0,0,0,0.86,0,0,0
120,0,0,2.95,0,0,0,0,0,0,2.49,0,0,0,0
