stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,19.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.78,49.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,23.69,0,0,0,8.7,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,163.48,0,0,0,48.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,39.17,0,0,0,29.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248.75,12.74,0,0,68.51,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.79,31.26,19.92,0,24.34,0,0,0,1.08,0,2.28,4.99,0,0,0,0,0,0.97,20.88,0,0,6.99,163.25,1,0,2.2,2.58,0,9.65,1.33,24.87,1.87,2.14,38.49,54.14,0,0,0,0
 24-34,0,0,0,4.81,13.54,0,0,40.56,0.91,0.8,0,0,1.01,0,4.12,0.83,0,0,0,0,0,31.26,0,0,11.25,211.83,1.13,0,0.8,0,0,15.31,0,0,0,0.61,9.28,35.72,0,3.27,0,1.9
 36-46,0,0,0,0,17.61,0,0,9.11,0,0,0,4.3,0,0,2.27,0,0,3.98,0,1.07,0,23.6,0,0,1.3,174.53,1.04,0,0,0,0,24.29,0,0,0,0,0,56.49,0,0,0,0
 48-58,0,0,0,0,30.47,0,0,19.26,0,5.52,0.95,6.26,0,0,5.63,0,0,0,0,2.56,3.2,32.94,2.92,0,6.93,278.05,0,0.98,0,0,0.56,7.47,0,0,0,0,0,55.39,0,0,0,0
 60-70,0,0,0,0,29.46,0,0,18.35,0,0.79,2.87,6.44,0.75,0,2.15,0,0,0,1.16,0,0,73.54,0,0,5.04,400.22,1.76,0,0,0,8.44,2.53,0,0,0,0,0,88.45,1.91,0,3.36,4.57
 72-82,0,0,0,0,29.68,2.04,0,51.33,0,5.44,0,11.84,0.7,0,0.55,0.57,0,0,0,0,0,136.39,0.56,1.97,4.63,437.67,0,0.75,0,0,0.84,3.12,0,0,0,0,0,62.46,2.83,0,0,0
 84-94,0,0,0,0,43.74,0.62,0,28.39,0,2.7,1.57,7.3,0,0,0.78,1.89,0,0,0,0,0,124.55,0,5.06,1.49,242.17,0,0,0,0,0,22.22,0,0,0,0,0,39.59,3.63,0,13.18,0
 96-106,0,0,0,0,66.58,1.13,0,48.9,0,10.81,5.52,14.93,1.16,0,1.33,0.78,0.62,0,0,0,0,83.82,0.74,3.82,9.1,188.96,0,0,0.62,0,1.44,11.35,0,0,0.62,0,0,14.54,2.88,1.33,15.65,0
108-118,0,0,0.71,0,79.85,3.72,1.72,4.82,0,22.32,0,6.58,1.42,0,3.06,1.39,0,0,0,0,0.59,108.37,1.11,3.88,2.02,198.51,0,0,1.74,0,1.82,16.28,0,0,0,0,0,12.4,0.6,0,2.76,0
120,0,0,0,0,169.75,2.03,0,3.14,0,20.18,0,15.35,1.05,0,4.81,1.91,0,0,1.84,0,0,78.91,0,34.4,6.12,294.41,0,0,0,0,0,8.83,0,0,0,0,0,29.02,2.93,0,7.8,0
