stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,386.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.04,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.73,300.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,9.15,0,12.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.35,29.4,4.72,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.68,0,0,0,44.81,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.24,0,0,0,15.14,0,0,0,0,0,4.77,0,0,0,7.47,0,0,0,0,0,99.83,0,0,0,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.03,0,0,0,0,1,0,0,0,0,0,0,0.86,88.05,0,9.01,0,0,0.96,11.47,1.93,0,0,0,0,0,0,1.06,0,0,1.33,3.17,0,0,0,0,0
 24-34,0,0,0,4.61,0,0,4.43,0.72,3.06,2.44,0,0,0,0.95,0,1.44,180.45,0,72.27,0,0,47.01,36.18,0,0,0,0,0,2.71,0,0,0,0,0,2.99,0,0,0,0,0.95
 36-46,0,0,0.72,1.21,0,0,7.13,0.85,0,6.79,1.05,0.58,0,3.09,0,0,69.04,0,191.52,0,0,52.38,32.93,0.57,0,7.75,0,0,19.67,0.81,0,0.7,0,0,9.05,0,0,0,0,0
 48-58,0,0,0,2.41,1.58,0,18.26,7.26,0,18.32,2.33,0,0,0,0,0,57.68,2.88,220.6,0,8.38,48.13,75.44,0,0.88,0,0,5.75,15.46,0,0,7.83,1.46,0,2.18,0,0,0.66,0,5.27
 60-70,0,0,0,2.16,0.67,1.62,22.23,17.55,0,25.82,3.49,4.35,0,1.25,0,0,18.56,14.05,168.58,0,0.93,28.25,44.8,0,0,1.79,0,0.84,7.82,0,0,0.76,2.37,0,2.01,0,0.67,1.75,0,21.45
 72-82,0,0,0,2.12,1.34,22,35.84,7.35,5.19,40.97,13.37,0,0,0,3.2,0,44.08,3.75,281.37,0,7.1,42.13,62.78,0,0,0.69,0,0,6.29,0,0,0.54,1.06,0,3.6,1.48,0.73,0,3.71,6.55
 84-94,0,0,0,2.64,0,48.41,16.07,10.51,0,19.95,8.23,2.8,0,0,0,1.18,120.4,0,255.47,0,11.56,15.69,41.79,0,0,7.8,0,7.18,11.39,0,0,2.65,1.85,0,0.65,0,2.07,1,3.17,2.28
 96-106,0,0,0,3.86,0,55.28,71,8.32,0,28.28,9.85,3.25,0,3.58,1.18,0,219.43,0,246.92,0,5.73,22.15,87.98,0,0,7.11,0,5.22,15.56,0,0,0,1.11,0,0,0,0,1.88,4.5,10.46
108-118,0,0,0,12.09,3.59,146.51,27.56,10.97,1.29,19.83,40.55,3.61,0,0,0.79,0,282.3,0,298.19,1.41,11.68,47.15,65.99,2.12,0,7.84,0,0.97,6.53,0,0,0.44,0.48,0,0,0,0,1.98,7.8,1.27
120,0,0,0,3.98,0,55.61,41.08,29.5,0,33.56,32.17,20.82,0,2.11,0,0,174.7,3.89,380.99,0,0,36.27,72.82,0,0,0,0,0,0,0,0,7.3,2.54,0,1.95,3.62,17.64,0,2.97,0
