stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12,0,3.6,0,0,0,0,0,0
 10-12,0,0,0,3.21,0,0,0,0,0,0,0,0,0,114.89,0,7.69,0,0,0,0,0,0
 14-21,0,1.7,0.93,5.86,7.9,0,0,0,0,0,0,0,0.84,442.99,0,0,1.52,0,0,1.57,96.17,0
 24-34,0,4.12,0,2.18,25.64,0,1.4,0,0,0,0,0,1.2,394.96,0.64,0,0,0.7,1.16,0,50.48,0.82
 36-46,0,0,0,2.71,23.09,0,0,0,0,0,0,0,0,271.41,0,0,0,0,0,0,19.08,0
 48-58,1.29,0,0,9.64,25.37,0,0,0,1.74,0,0,0,0.69,163.79,0,0,0,0,0,0,20.21,0
 60-70,0,0,0,8.68,7.69,0,0,0,0,0,0.64,0,0,83.21,0,0,0,0.62,0,0,14.26,0
 72-82,0,0,0,2.57,3.53,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0,17.79,0
 84-94,0,1.25,0,7.73,3.99,0,0,1.35,0,0,0,1.56,0.77,34.72,0.72,0,0,0,0,0,18.55,0
 96-106,0,0,0,0,3.15,0,0,0.75,0,0.58,1.96,0,0,40.69,0,0,0,0,0,0,13.99,0
108-118,0,0,0,1.99,6.98,0.8,0,0,0,0,5.43,0,0,81.83,0,0,0,0,0,0,11.9,0
120,0,0,0,0,10.29,0,0,0,0,0,0,0,0,57.74,0,0,0,0,0,0,6,0
