stage,axial,blastomeres,endoderm,neural,notochord,paraxial_mesoderm,periderm
  3-4,74.35,532.29,0,0,0,0,11.27
  5-6,9.16,295.32,0,25.65,0,0,9.92
  7-9,7.34,6.02,5.38,60.38,3.96,14.64,0
 10-12,0,0,0,7.43,0,25.14,0
