stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,otic,periderm,pronephros
  3-4,67.74,0,0,0,0,0,0,0,0,0
  5-6,41.02,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.39,0,0,0
 10-12,0,0,0,0,0,0,55.92,0,0,0
 24-34,0,0.91,0,0,0,1.14,2.86,1.32,1.92,0
 36-46,0,0,0,0,0,0,0,0,0,0.86
 48-58,0,0,0,0.8,0,0,0,4.95,0.62,0
 60-70,0,0,0,0.6,0,0,1.86,1.58,0.6,9.83
 72-82,0,0,0.7,0,0,0,0,2.09,0,0
 84-94,0,0,0,0,0,0,7.96,0.71,2.54,0.67
 96-106,0,0,0,4.55,0,0.94,0,7.58,1.86,0
108-118,0,0,0,0,1.91,0,0,6.02,1.83,0
120,0,0,0,0,0,0,0,4.18,1.58,0
