stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,37.59,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,26.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.55,0,7.45,0,0,0,320.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265.45,0,0,33.81,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.69,0,0,191.3,0,0,0,1.28,0,0,0,0,0,0,0,3.25,0,2.45,1280.91,0.85,0,0,0,2.42,2.69,1.13,40.28,0,0,0,0
 24-34,0,0,0,8.59,0,0,550.28,0,0.68,0,12.65,0,0,0,0,0,0,0,6.16,0,1.12,1812.91,7.73,0,0,0,6.16,0,0,80.72,0,7.12,0,0
 36-46,0,0,0,1.2,1.22,0,831.45,0,0,0,124.3,0,0,0,0,7.94,0,8.19,6.89,0,5.76,1728.47,4.16,0,0,0,0.84,0,0,51.93,0,0,0,0
 48-58,0,0,0,1.76,0,0,599.56,1.64,0,0,151.58,0,0,1.28,0.8,0,0,3.8,5.54,0,2.97,899.7,3.3,0,0,0.59,1.32,0,0,23.13,0,10.51,0,6.8
 60-70,0,0,0,2.51,0,0,519.88,0,0,0,218.93,0,0,0,0,0,0.61,0,12.98,0,0,563.35,1.37,0,0,0,1.8,0,0,4.53,0,0,0,0
 72-82,0,0,0,1.61,0,0,121.71,0.75,0,0,186.29,0,0,0,0,0,0,0,11.2,0,0,316.97,8.22,0,0,0,0,0,0,7.81,0,0,0,0
 84-94,0,0.66,0,0.62,0,0,134.15,0.56,0,0,138.71,0,0,0.64,0,0,0,0,9.83,0.57,0,248.35,15.07,0,0,0,0,0,0,8.41,0,1.24,0.75,0
 96-106,0,0,0,5.8,0,0.98,71.93,0,0,0,132.66,0,0,1.18,0,0,0.75,0,6.01,0,0.92,204.06,27.57,0,0,0,0,0,0,1.15,0,1.04,0,0
108-118,0,0,0,5.26,0,0,110.86,0,0,0,192.51,0,0,0,0,0,0,0,2.79,4.08,0,315.58,15.69,1.01,0,0,1.65,0,0,0,0.57,0.59,0,0
120,0,0,0,2.64,1.3,0,110.57,0,0,2.45,270.79,3.36,0,1.09,0,0,0,0,1.8,0,0,396.66,9.67,0,0,0,0,0,0,6,0,1.72,0,0
