stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,0.98,1.08,0,0,0,0,0,0,0,0,0,5.67,0,0,0,8.85,0,0
 24-34,0,0,0,0.95,0,0,0,0,1.58,2.33,0,0.83,76.06,0,0.73,0.7,21.29,0,0
 36-46,0,0,0,19.33,0,0,0,0,0,0,0,0,196.65,10.07,0,0,29.14,0,0
 48-58,0,2.92,0,32.59,7.28,0.61,0,1.55,0,0,0,0,208.84,0.43,0,0,44.64,0,0
 60-70,0,0.75,0,84.15,0,2.35,0,0,4.92,0,0,0,245.64,0,0,0,24.47,0,0
 72-82,0,0,0,52.84,0,1.45,0,0,0,0,0,0,177.74,0,1.53,0,16.25,0,0
 84-94,0,0.63,0,34.64,0,5.25,0,0,1.25,0,1.41,0,103.67,0,2.54,0,7.83,0,0
 96-106,1.08,0,0,15.92,0,2.89,0.66,0,0,0,0,0,50.92,0,4.44,0,3.58,0,2.3
108-118,0,0.63,0,39.85,0,1.6,0,0,0,0,0,1.15,105.95,0.57,1.42,0,1.09,1.08,0
120,0,0,0,22.63,0,0,0,0,0,1.05,0,0,168.1,0,1.43,0,0,0,0
