stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle,xanthophores
  3-4,121.76,587.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.83,0,0,0,0,0,0
  5-6,48.21,527.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.26,2766.77,0,0,0,0,0,0
  7-9,0,10.48,0,0,0,0,8.58,0,0,0,0,5.1,0,0,0,0,0,0,0,0,60.91,3.59,0,48.71,379.09,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,56.37,0,0,0,14.71,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,1.02,0,0.83,0,0,0,21.63,0,2.12,0,0,0,0
 24-34,0,0,0,0,1.9,0,0,0,0,0,1.69,0,0,1.06,0,0,2.34,0,0,0,2.01,0,0,0,0.73,0,0,0,0,0,0
 36-46,0,0,0,0,2.15,0,0,0,0,0,0.66,0,0,0,0,3.76,0.59,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0
 48-58,0,0,0,0,9.66,0,0,0,0,1.17,9.05,0,0,0,0.41,0.59,0,0,0,0,1.28,0,0,0,3.37,0,0,0,0,0,0
 60-70,0,0,4.68,0,11.06,0,4.72,0,6.19,0,14.17,0,0,4.1,0,1.27,9.77,0,1.71,0,6.75,0,0,0,0,0,0,0,2.79,0,9.53
 72-82,0,0,1.82,0,25.31,4.25,9.46,0,0.59,0,47.39,0,3.71,21.14,0.96,3.41,3.14,1.69,0.72,0,5.57,0,0,0,0,0,0,0,2.09,0.91,3.36
 84-94,0,0,1.18,0,67.62,0,2.16,0,1.75,0,83.75,0,2.18,23.68,0,5.15,0,2.78,10.32,0,3.02,0,0,0,0.76,0,0,0,7.82,0,3.26
 96-106,0,0,1.62,1.38,156.41,10.6,15.35,0,0.89,1.4,124.39,0,3.6,31.89,1.27,16.28,9.82,0,3.05,0.74,29.62,0,0.97,0,1.13,0,0,0,31.84,0,4.1
108-118,0,0,2.72,3.8,168.91,0,13.9,1.18,2.99,5.57,146.98,0,8.78,59.42,12.57,6.8,1.37,0.66,2.68,1.21,33.55,0,0,0,7.26,0.43,0,1.44,36.65,0,0
120,0,0,0,3.17,133.83,13.55,5.66,0,0,0,85.9,0,8.68,20.11,0,5.16,0,0,0,0,21.64,0,0,0,1.68,0,0,0,7.63,0,0
