stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,0,0,6.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.91,3.36,0,0,6.36,0,0,0,0,0,0,0,0,0
 14-21,0,10.06,0,0,0,11.61,0,0,0,4.3,0,0,22.92,0,0,3.04,0,0,0,9.57,9.61,4.83,20.59,32.49,0,0
 24-34,0,2.6,0,0,0,12.7,0,0,0,7.9,0,3.36,32.24,0,18.42,6.44,0,0,0,0,3.7,0,1.27,42.71,0,0
 36-46,0,0,0,4.55,0,15.1,0,0,3.34,7.42,0,4.3,85.97,0,27.53,0,0,0,0,0,5.35,0,0,23.96,0,0
 48-58,0,0,0,1.79,0.38,6.43,0,0.89,0,4.66,0,1.31,60.6,0,16.07,0.64,0,0,0,0,0.93,0,0,39.79,0,0
 60-70,0,3.27,0,7.68,0,21.67,0,0,0,7.6,1.53,0,45.5,0,20.7,0.63,0,0,0,0,5.74,0,0,20.64,0,0
 72-82,2.53,1.04,0,7.83,0,10.52,2.26,0,0.7,9.89,0,0,90.38,0,37.55,1.01,0,0,0,0,0.97,0,0,19.21,0.8,0
 84-94,2.44,4.18,0,1.4,0,6.15,1.45,0,0,8.37,0,0,53.72,0,21.11,4.22,0,2.54,0,0,0.7,0,0,16.09,0,0.89
 96-106,0,0,1.54,2.2,10.68,3.3,1.11,0,5.24,7.61,0,0.61,49.08,0,25.86,6.16,0,0.93,0,0,0.6,0,0,11.81,0,0
108-118,0.71,0,0,4.53,1.18,12.97,0,0,0.63,7.56,0,0,25.11,0,26.37,1.51,0,0,0,0,1.95,0,0,2.26,0.67,0
120,0,6.94,0,4.8,0,7.79,6.94,0,0,1.14,0,4.33,89.47,0,24.59,0,0,0,0,0,0,0,0,5.77,0,0
