stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,421.58,10737.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.78,0,0,0,0,0
  5-6,425.87,4982.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.4,0,0,0,18.26,69.16,0,0,0,0,0
  7-9,13.37,26.31,3.43,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,310.08,6.98,0,0,72.76,0,42.47,0,0,0,0
 10-12,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0,0,0,79.96,0,0,0,13.54,0,10.34,0,0,0,0
 14-21,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,1.17,0,1.83,2.66,0,0,0,0,0,0,1.28,1.66,0,0
 24-34,0,0,0,0,0,0,1.37,0,0,0,0,0,0,0,3.13,0,1.72,11.81,0,1.32,0.75,0,0,0,0,0,6.93,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.02,0.55,0,8.13,0,1.02,0,0,0,0,0,0,1.09,0
 48-58,0,0,0,1.47,0,0,5.16,0,0,0,0.43,0,0,1.77,6.05,0,0,9.6,0,0.41,1.55,0,0,0,0,0,1.23,0
 60-70,0,0,0,0,0,0,30.95,0,0,0,2.17,2.56,0,4.22,1.62,0,0.99,14.77,0,0,1.79,0,1.29,0,0,0,0,0
 72-82,0,0,0,2.05,0,0,4.52,0,0,0.61,1.39,2.57,0,0,18.28,0,0.53,4.67,0,0.75,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.57,0,7.62,0,3.15,0,0,2.36,0.87,0,2.86,0,0,5.24,0,0,0,0,1.08,0,0,0,0,0
 96-106,0,0,0,0.71,0,0,1.5,0,0,0,1.7,0.62,0,0,7.07,0,0,9.26,0,0,0.81,0,0,0,0,0,0,0.79
108-118,0,0,0,0.6,0,0,7.03,1.5,1.14,0,0.42,0.57,0,0,0,0,0.55,3.7,0,0.43,2.55,0,0.49,0,0,0,0,0
120,0,0,0,0,0,1.71,11.61,0,0,0,0,0,0,0,0,0,1.1,19.48,0,0,11.81,0,0,0,0,0,0,0
