stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,1.51,0,0,0.92,0,0,0,0,0,0,8.59,3.07,0,0,0,0,0,2.36,0,0,39.42,0,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,1.06,0,4.25,3.87,0.62,0,0,0,1.11,0,0,0,19.6,1.53,0,0,25.54,0,0
 36-46,0,0,0,0,0,5.29,0.6,0,0.61,0,0.57,0,0,0,0,4.67,0,5.26,16.58,0,1.43,7.09,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.71,0.58,0,0.49,0,0.83,4.07,0,0,0,0,20.23,0,23.24,42.73,0,0,0,0,0,0,0,0.45,0,1.01,0,0,1.31,0,0
 60-70,0,0,0,0,12.2,1.5,0,0,0,0,12.16,0,0,0,0,71.11,1.71,33.21,45.81,0,0,0,0,0,0,1.17,0,0,0,0,0,4.69,0,0
 72-82,0,0,0.71,0,54.94,0,1.15,2.13,0,0,5.01,0,0,0,5.46,65.88,0,12.64,81.8,0,0,0,1.05,0,0,0,0,0,0.62,0,6.08,5.8,0,3.43
 84-94,0,0,0.65,0,59.64,1.68,0,1.63,0,4.69,9.07,0,4.78,0,1.28,70.3,8.51,14.74,56.04,0,0,0,0,0.72,0,0,0,0,0,0,1.96,0.6,0,9.76
 96-106,0,0,1.38,0,53.13,0.67,0,3.65,0,0,16.17,5.89,0,2.01,0,57.6,4.13,23.6,43.38,0,0,0,3.77,0.71,0,0.71,0.62,0,0,2.08,0.83,4.04,0,0
108-118,0,0,0.94,0.59,59.22,2.12,0,3.2,0,0,22.3,0.91,10.25,0,0,45.9,3.74,14.81,74.29,0,0,0,7.76,0,0,0,1.3,0,0,1.31,2.41,7.62,0.57,0
120,0,0,3.12,1.14,62.85,5.03,0,0,0,0,46.18,0,0,0,0,47.14,3.7,13.58,149.09,0,0,0,15.95,0,0,0,0,0,14.31,3.18,0,6.1,0,0
