stage,axial,blastomeres,eye,fin_epithelia,glial,gut,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,somites,spinal_cord,xanthophores
  3-4,0,113.14,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.39,268.4,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.15,20.05,0,0,0,0,0,119.17,19.31,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,13.44,3.23,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.83,0,0,0.9,0,0
 24-34,0,0,1.12,0,1.18,0,0,0,0,0,0,0,0,2.07
 36-46,0,0,0,0,0,0,0,0,2.4,0,0,0,0.67,0
 48-58,0,0,0.78,0,0,0,0.5,0,4.2,0,0,0,2.14,0
 60-70,0,0,2.32,0,2.32,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.73,0,0,0,0,0.68,7.7,0,0,0,0.99,0
 84-94,0,0,0.76,0,0,0,0.78,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.7,0,0,0.67,0,0.81,0,0,0
108-118,0,0,0,0.43,0,0,0,0,1.65,0,0,0,3.42,0
