stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,8.77,0,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.24,11.69,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,38.16,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,655.23,49.42,0,0,113.56,0,0,0,52.56,0,0,6.57,0,0,0,0
 14-21,0,0,0,23.57,46.6,0,2.29,0,0,737.99,1.08,0,0,0,0,0,0,37.25,0,3.21,548.26,16.64,7.68,153.56,63.72,0,1.53,9.72,545.44,0,17.09,1964.19,0,0,0,0
 24-34,0,0,1.78,13.93,0,0,6.16,0,4.43,613.48,0.98,0,0,3.74,2.59,0,0,20.99,0,20.48,460.02,10.28,42.09,26.1,0,0,0,0,196.07,2.27,11.61,1159.76,0,0,0,0
 36-46,0,0,0,15.63,0,0,60.15,0,2.07,409.01,5.21,0,0,0,0,8.78,0,2.49,0,2.26,441.41,0,41.51,25.73,0,2.41,0,0,74.18,11.19,0,808.08,0,0,0,8.82
 48-58,0,0,0,5.67,0,0,18.32,0,0,371.53,0.82,0,0,0,8.24,2.56,0,7.67,0.53,2.45,284.18,0,23.4,18.76,0,0,0,0,33.22,0,0,676.96,0,0.63,0,0
 60-70,0,0,0,6.87,0,0,8.72,0,0.63,283.83,0,0,0,0,16.43,0,0,8.91,0,0,148.85,0,33.05,29.37,0,0,0,0,15.51,0,0,326.55,0,0,0,0
 72-82,0,4.36,0,3.55,2.09,0,22.51,1.27,0,280.22,8.01,0,0,0,27.61,0,0,2.44,0,1.42,128.77,0,29.69,93.34,0,2.88,0,0,17.45,0,0,120.49,0,0,0.93,5.6
 84-94,0,2.92,1.03,0,0.99,0,38.62,0,0,192.69,2.68,0,0,0,45.34,0,0,10.7,0,4.8,110.35,0,37.55,135.06,0,4.09,2.8,0,29.2,0,0,166.17,0,0,0,0
 96-106,0,2.35,3.8,0.71,0,3.86,30.35,0,3.85,216.84,4.41,1.59,0,0,98.09,0,0.58,4.54,1.17,0,97.7,0,75.99,154.08,0,4.94,0.7,0,20.59,0,0,87.3,0.75,0,0,0
108-118,0,0.83,1.92,2.37,5.57,1.17,15.1,0.59,0,184.48,0,0.78,0,0,39.43,0,0,3.86,1.58,0,143.67,0,42.9,163.87,0,4.8,1.11,0,21.96,0,0,68.11,0,0,0,0
120,0,0,0,1.59,0,0,12.74,0,0,204.39,9.76,0,1.63,0,54.2,0,0,2.45,0,0,180.06,0,49.01,137.87,0,0,0,0,28.2,0,0,42.44,0,1.14,0,0
