stage,axial,blastomeres,epidermis,eye,fast_muscle,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  3-4,10.9,103.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.16,37.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.77,4.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.11,4.63,4.31,0,18.23,0,0,0
 14-21,0,0,0,0,0,1.35,2.17,0.97,3.01,0,0,1.7,0,1.2,0,0
 24-34,0,0,0.69,0,0,0.68,0,0.76,3.33,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.88,0,0,0,0.64,0,0,0,0,0,2.14,0
 48-58,0,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.77,0,0.73,2.73,0.89,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.64
108-118,0,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,0
