stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,53.69,1440.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.86,0,0,0,0,0,0,0,0
  5-6,243.26,2800.59,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,43.19,0,0,0,27.16,82.01,0,0,0,0,0,0,0,0
  7-9,35.04,125.74,110.33,0,0,356.42,0,0,0,0,165.94,0,0,0,0,0,0,0,0,0,3045.43,76.77,0,0,1043.79,8.24,31.61,0,0,0,0,0,0,0
 10-12,4.89,87.61,133.11,0,21.71,97.1,0,0,0,0,23.07,0,0,0,0,0,0,0,0,0,1660.22,32.51,0,0,551.11,6.36,6.41,0,35.53,0,5.88,0,0,0
 14-21,0,0,2.4,4.82,2.26,3.39,0,0,2.71,0,2.29,1.52,0,0.92,0,0,0,1.32,0,1.73,54.23,4.2,1.37,0,0,1.43,0,4.29,0.81,1.34,3.13,13.66,0,0
 24-34,0,0,0,4.98,0,13.3,0,0,1.3,0,0,0,0.71,0,0,0,1.09,13.87,0,2.29,230.72,0,0.77,1.03,0,5.16,0,0,0,0,0,42.46,1.46,0
 36-46,0,0,0,2.61,0,92.25,0,0,5.6,0,0,0.87,0,3,0,0.62,0,6.28,0,5.83,207.53,0,1.62,0.8,0,1.86,0,0,0.72,0,0,39.62,7.7,1.59
 48-58,0,0,0,5.3,0.5,137.54,0,0,4.29,0,0,0,0,0,0,0,0,12.62,0.6,1.8,94.67,9.89,0,0,0,0,0,0,0,0,0,17.78,0.66,0
 60-70,0,0,0,0.99,0,122.99,0,0.84,3.62,0,0,0.66,0,0,0.61,0,0,23.42,0,0,62.21,0,0,0,0,0,0,0,0,0,0,6.55,3.07,0
 72-82,0,0,0,1.87,6.35,20.25,0,0,3.43,2.64,0,0,0.69,0,0,0,0,14.72,1.81,1.87,18.63,0,0.79,0,0,0,0,0,0,0,0,0.99,0,0
 84-94,0,0,0,0.64,0,25.49,0,0,9.91,0.61,0,0,0,0,0,0,0,14.57,1.23,0.55,15.91,0.56,0,0,0,0.66,0,0,0,0,0,0,0.95,0
 96-106,0,0,0,0,0,10.18,0,0,0,0,0,0,0.62,0,0,0,0,10.52,0,0,10.2,0,1.9,0,0,0,0,0,1.33,0,0,0,0,0
108-118,0,0,0,0,7.4,9.71,0,0,7.09,0.62,0,0,0.88,0,2.29,0,0,3.15,0,0.46,11,0,2.57,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.61,29.91,2.05,1.04,9.96,0,0,0,0,0,0,0,0,1.34,0,0,49.82,0,0,0,0,0,0,0,0,0,0,0,1.09,0
