stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.96,9.29,0,8.23,0,0,0,0,0,0,0,0,0,0,2.8,0,1.98,115.67,0,1.21,0,0,0,12.59,1.63,10.88,26.69,0,0,3.23,0
 24-34,0,0,2.19,0.89,8.43,0,0,1.18,0,0,0,0,0,0,0,4.8,0,2.55,99.07,0,0,0.84,0,0,1.1,0.83,1.29,22.25,0,0,3.66,0
 36-46,0,0,2.46,0,9.05,0,0,5.59,0,0,0,0,0,0,0,9.23,0.57,2.18,107.24,0,0,1.22,0,0,0,0,0,28.02,0,0,0,0
 48-58,0,0,3.16,0,17.37,0,0,3.08,0,0.83,0,0,0,0.51,0,10.18,0,3.66,48.59,0,0.38,0,0,0,0,0,0,17.41,0,0,0,0
 60-70,0,0,2.18,0,35.15,0,1.28,7.59,3.1,0,5.52,0,0,0,1.41,13.81,0,0.74,32,0,0,0,0,0,0,0,0,11.82,0.84,0.98,3.6,0
 72-82,0.86,0,0,4.19,17.47,0,2.34,3.8,0,0,0,0,0,0.61,0,13.15,0.74,1.74,27.73,0.52,0,0,0,0,0,0,0,19.1,0,0,0,1.39
 84-94,0,0,1.58,0,18.4,1.02,0,4.46,0,0,0,0.83,0.96,0,0,8.43,0,2.33,7.88,0,0,0,0,1.96,0,0,0,7.16,0,0,0.6,1.09
 96-106,0,0,0,0,3.46,0,2.93,4.55,0.56,0,0,0,0,0,0,14.13,0,1.02,31.66,0,0,7.27,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,8.63,0,0,11.53,0,0,0,0,0.65,0,1.92,12.06,0,0.51,40.65,0,1.62,0.52,1.6,0.56,0,0,0,3.29,0,4.53,0,1.79
120,0,0,1.16,1.59,12.14,1.68,0,10.87,0,0,0,0,0,0,0,28.82,0,3.08,62.53,0,0,3.15,0,1.05,0,0,0,2.02,0,0,1.14,0
