stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.6,141.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.17,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.8,0,11.79,0,0,0,0,0,0,0,0,0,22.96,0,0,0,0,0,0,0,0,0,0,0,41.89,0,0,0,26.05,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0.88,29.5,0,0,0,0,0,0,1.69,0,0,4.08,0,0,0,0,0,0
 24-34,0,0,0,0.87,0,0,0,0,0,0,157.66,0,0,0,0,0,0,0,0,0,0.81,0,0,0.97,463.91,0,0,0,0,0,2.36,0,0,0,1.89,29.61,0,0,0,0,0
 36-46,0,0,0,0.98,0,0,10.54,0,0,0.74,1113.86,0,0,1.45,0,0,0,0,0,0,14.57,0,0,0,841.64,0,0,0,0,0,0,0,0.56,0,0,238.44,0,0,0,0,0
 48-58,0,1.29,0,20.48,1.87,0,120.23,3.07,0.85,2,2559.01,0,0,0,0.4,3.61,0,1.4,7.96,0,15.23,0,0,2.71,969.5,0,0,0,0,0,9.34,0,0.56,1.1,0,908.87,0,0,5.63,0,2.85
 60-70,0,0,0,11.84,0,0,124.14,0,3.8,1.13,4519.98,5.33,0,0,3.36,0,6.06,0,0,0.71,15.68,0,0,0,705.9,0,3.15,0.94,0,0,6.69,0,0,0,0,701.19,0,0.57,9.35,0,10.83
 72-82,0,0,0,41.97,6.28,0,216.5,0,1.61,4.29,5266.96,1.02,0,0,0.53,0,8.35,2.02,0,0,27.91,0,0,0.99,638.17,0,0.6,8.17,0,0,1.29,0,0,0,0,321.29,2.61,0,6.67,2.22,2.1
 84-94,0,0,0,55.77,8.25,0,258.35,0,0.63,3,2980.88,0,0,0.78,0,1.75,0,0,2.58,0,45.14,2.87,5.27,1.38,447.89,1.75,0,0.94,0,0,3.45,0,0,0,0,254.35,0.85,2.41,1.23,10.92,0
 96-106,0,0,0,23.32,5.01,0,180.64,0.87,2.8,2.37,2876.81,0.69,0,0,1.93,0.58,0,0,5.58,0,22.66,0,7.47,10.5,646.85,0,0.87,0,0,0,7.98,0,0,0,0,92.33,0,0,2.32,0,7.24
108-118,0,0,0,2.65,5.13,0.49,100.54,2.02,0,4.71,2735.95,0.54,0,0.99,0,1.4,0,0,0,0,30.74,0,0,0,458.4,0,0.77,0,0,1.49,0.55,0,1.21,0,0,96.66,0,1.3,5.43,0,0
120,0,0,0,11.03,14.1,0,306.71,1.18,0,0,4245.27,1.69,0,0,3.53,4.13,0,2.12,2.87,0,5.89,0,0,0,942.6,1.55,0,1.43,0,0,7.41,0,12.14,0,0,136.55,0,0,0,5.18,0
