stage,epidermis,eye,fast_muscle,fin_mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,notochord,otic,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.94,0,0,0,0,0,0,0,2.24,0.98,0,1.13,0,0
 24-34,0,0,0,0,0,0,0,0,0.84,0,1.95,0,0,0
 36-46,0,1.71,0,0,0,0,0,0.9,3.08,0,0,0.88,0,0
 48-58,0,1.42,0.46,0.65,2.45,0,0.8,0,1.44,0,0,0,0,0
 60-70,0,4.79,0,0,0.59,0,0,1.72,11.74,0,0.72,9.38,0,0
 72-82,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.54
 84-94,0,0.94,0,0,0,0,0,0,3.05,0,0,0,0,0
 96-106,0,0.85,0,0,0,0.67,2.34,0,2.45,0,0,1.71,2.17,0
108-118,1.08,0,0,0,0,0,0.95,0,5.57,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,14.82,0,0,0,0,0
