stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,12.35,28.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.71,127.53,0,0,0,0,0,0,0,0,47.88,0,0,0,27.98,0,0,0,0
  7-9,17.94,6.61,7.03,0,0,0,0,0,8.08,0,30.82,4.46,0,69.7,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,47.35,0,0,0,0,0
 14-21,0,0,0,3.99,4.66,0,0,0,0,1.09,4.44,2.45,0,0,0,67.47,0,20.49,4.63
 24-34,0,0,0,0,0.76,0.89,0,0.73,0,1.31,3.73,0,4.64,0,0.88,0,0,0,1.53
 36-46,0,0,0,0,0,0,0,0,0,3.31,5.11,0,2.12,0,0.65,0,0,0,3.56
 48-58,0,0,0,0,0,1,0,0.71,0,0.76,4.46,0,0,0,0,0,0,0,1.81
 60-70,0,0,0,0,0,0,0,0,0,1.08,1.03,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,1,4.83,0,1.6,0,1.67,0,0,0,0
120,0,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,1.56,0,0
