stage,epidermis,eye,glial,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.4,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.98,4.85,0,0
 36-46,0,0,0,0,0,0.71,0.72,0,37.72,2.97,0.57,0
 48-58,0,1.48,1.39,0,0,1.1,1.72,0,62.03,6.32,0,6.1
 60-70,0,3.2,0.73,0,7.43,0,0.94,0,91.2,15.18,0,0
 72-82,2.37,7.79,4.97,0,0,0,1.68,0,89.37,10.03,0,0
 84-94,0.6,9.92,0,0.56,0,0,0,0,71.93,25.31,0,0
 96-106,0.88,0,2.4,0,0,0,0,0.92,23.84,1.43,0,0
108-118,0.76,9.28,2.68,0,0,0,2.3,0,64.13,0,0,0
120,0,43.39,1.34,0,0,0,0,0,48.48,0,0,0
