stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord
  7-9,0,5.18,0,0,0,0,0,0,8.44,0,0,0,0,0,0,0
 14-21,0.91,0,0,0,0,0,3.31,0,1.85,2.47,0,0,0,0,0,0
 24-34,0,1.29,0,0,0,0,0,0,15.4,0,10.79,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.86,0,3.62,1.18,25.77,0,3.08,0,0,0.58
 48-58,0,2.14,0,0,5.54,0,2.49,0.45,13.43,0,0,0,0,0,0,4.68
 60-70,0,1.49,0,0,0,0,0,0,0,0,9.41,0,0,0,0,1.08
 72-82,0,3.68,0,0,0,0,0.82,0,1.66,0,3.47,4.76,0,0,0,2.01
 84-94,0,0.61,0,0,0,1.03,0,0,1.43,0,14.62,0,0,0,0,0
 96-106,0,0,0.7,0,2.28,0,0,0,4.89,0,73.99,0,0.93,0,0,0
108-118,0,6.88,0.55,0,6.28,0,0,0,0,0,3.36,0,3.28,0,0.44,0
120,0,3.03,0,3.73,0,0,0,0,8.31,0,15.08,0,0,1.73,0,0
