stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.24,358.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.35,475.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,23.34,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0,0,56.18,0,0,46.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.23,0,0,27.6,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,4.18,23.31,0,0,0,0,0,0,65.41,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,0,0.86,1.12,0,0.94,2.58,0,13.13,0,0
 24-34,0,0,0,5.67,9.47,1.33,0,0,1.08,0,0,126.48,0,0,0,0,0,0,1.11,0,0.78,22.32,0,0,0,0,0,0,0,0,2.8,3.45,0,107.36,0,0
 36-46,0,0,0,15.99,0.69,0,3.44,0.58,0.74,0,0,158.06,0,0,0,1.24,0,0,0,0,0.57,6.3,0,0,0,0,0,0,0,0,0,2.73,0,58.9,0,0
 48-58,0,0,0,1.42,1.89,3.43,0,0,0.71,0,0,155.96,0,0,0,3.35,0,2.48,0,0,0,10.89,0,0,0,0,0,0,0,0,0,4.79,0,34.74,0,1.31
 60-70,0,0,0,5.01,6.88,5.07,0,0,1.74,0,0,152.66,0.71,0,0,0,0,5.41,0,0.89,0,24.53,0,0,0,0,0.99,0,0,0,0,3.15,2.02,45.99,0,3.97
 72-82,0,0,0,0.59,24.13,2.28,2.01,0,11.71,0,0,297.71,0,0,1.02,0,0,26.28,0,2.63,0,15.3,0,0,0,0,0,0,0,0,0,0,2.77,53.5,1.79,0
 84-94,0,0,3,0.73,15.92,6.28,0,0,4.65,0,0.6,402.69,0,0.55,0,0,0.99,33.73,1.29,0,1.48,3.88,0,0,0,0,0,0,0,0,0,0,4.97,46.05,2.42,0
 96-106,0,0,0,1.94,36.58,25.69,0,0,5.78,1.73,0,483.15,1.15,0,0,0.63,0,40.72,0,0,0,20.97,0,0,0,3.2,4.28,0,0,0.6,0,1.45,3.45,60.31,3.38,0
108-118,0,0,2.6,9.11,36.3,0,1.35,0,5.75,1.87,0,507.12,0,0,0,0,0,23.49,0,0,1.67,20.23,0,0,0,4.22,0,0.79,0,0,0,1.2,2.05,59.73,1.07,0
120,0,0,0,11.48,56.64,0,0,0,3.18,0,0,694.23,0,0,2.29,0,0,30.98,0,0,0,24.84,6.51,1.02,0,0,0,1.53,0,0,0,0,1.32,73.02,1.8,17.42
