stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.48,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,32.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.46,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,24.55,0,32.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,5.93,0,344.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73,0,0,0,0,0,0,0,3.07,0,0,0,0,0
 36-46,0,0,0,0,0,341.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,6.8,0,0,0,0,0,0,0,2.53,0,0,0,0,0
 48-58,0,0,0,0,0,371.69,0,0,0.64,0,0,0,0,0,0,0,0,0,6.11,1.94,0,0,0.66,14.95,0,0,0,0,0,0,0,2.96,0,0,0,0,1.66
 60-70,0,0,0,0,0,2673.42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22.69,0,0,0,0,0,0,0,1.42,0,0,0,0,0
 72-82,0,0,0,3.16,19.55,6212.41,0,0.52,1.32,34.32,1.79,2.23,0,1.49,0.93,5.43,0,1.65,0,43.27,0,5.17,2.03,133.73,0,0,2.67,0,0.87,3.03,3.62,15.76,1.87,1.58,14.78,1.53,9.65
 84-94,0,0,4.43,22.47,1.26,8579.22,0,0,0,10.65,0.81,0,0,3.08,0.86,0.62,2.31,0,0,52.53,0,8.61,0,103.05,0,0,0,0,0,17.05,0,11.13,1.37,1.28,3.54,3.88,0
 96-106,0,0,0,307.72,25.41,11251.97,34.65,0.58,5.89,44.59,2.44,0,1.64,8.26,1.13,0.57,2.83,37.63,1.3,96.07,0,3.09,3.32,233.8,0,6.85,1.01,0,0,42.07,0,7.8,0,1.24,3.69,2.81,12.29
108-118,3.02,0,0.6,10.51,14.67,10745.25,0.49,6.77,2.51,35.97,1.36,0,0,5.2,2.75,3.28,0,3.65,0,119.62,3.62,0.92,3.32,242.48,0.54,2.72,2.32,0,2.27,12.19,0,13.13,4.53,0,7.17,3.03,9.42
120,0,0,0,38.63,27.2,12326.56,0,15.05,0,28.07,0,0,0,7.1,0,1.11,1.62,24.09,0,82.4,0,0,32.3,532.96,4,0,10.34,0,0,4.32,9.92,0,0,1.32,11.6,2.01,0
