stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,somites,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,3.56,8.47,0.98,2.76,2.36,3.09,0
 24-34,0,1.4,0.6,0,0,0,0,0.74,4.24,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,7.93,0,0,0,3.77,0
 48-58,0,0,0,0,0,1.01,2.94,0.45,5.7,0,0,0,3.11,0
 60-70,0,0,3.17,0,0,1.12,0,0,1.27,0,0,0,0.99,0
 72-82,0.56,0.55,19.87,0,0.54,0.71,4.49,0,3.28,0,0,0,0,0
 84-94,0,6.78,8.38,0,0,0,0.67,0,0,0.66,0,0,0.82,0
 96-106,0,0,0,0.61,0,2.06,0,1.34,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.92,0,1.87,0,0,0,0,0.71
120,0,0,11.4,0,0,0,0,1.59,8.33,0,0,0,0,0
