stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,16.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,0,0,22.55,0,0,0,0,0,0,0,11.11,0,5.08,0.94,6.36,0.9,17.65,0.81,36.73,0,0
 24-34,0,0,0,0,1.11,0,0.83,29.07,0,0,0,0,0,0,0,34.68,1.49,66.24,6.02,0.62,0,19.64,0.74,75.42,0,0
 36-46,0,0,0,0,2.58,0,0,12.08,0,0,0,0,0,0,0,48.11,0,131.19,1.66,0.92,0,21.64,0,57.86,0,0
 48-58,0,0,0,0,1.76,0,0,10.46,0,0,1.41,0,0,0,0.47,24.82,0,99.58,5.05,0.49,0,10.55,0,40.03,0,0.5
 60-70,0,0,5.42,0,12.03,0,0,22.9,0,0,3.1,0,0,1.53,0,84.58,0,81.22,3.97,1.13,0,0,0,17.03,0,5.04
 72-82,0,4.59,0,2.39,6.08,0,0,32.55,5.44,0,10.74,0,2.19,0,0.84,34,0,150.02,9.3,0,0,0.57,0,15.48,0,0
 84-94,0,4.86,0.57,8.06,5.39,0,0,31.07,9.23,0.8,7.05,0,0,0,0,37.9,0,161.72,16.67,0,0,2.65,0,21.08,0,0
 96-106,0,2.38,0.96,2.44,2.81,3.49,0,21.96,4.22,0.96,19.45,0.61,1.83,0,0,60.81,0.85,266.8,26.04,1.19,0,0.7,0,10.02,1.23,0
108-118,0,1.69,0.46,0,4.71,0.43,0,24.95,2.27,0,10.53,0.48,2.59,0,0,75.86,0,149.75,34.58,1.28,0,2.58,0,16.26,0.67,0
120,0,1.22,0,0,0,0,0,28.59,0,0,12.94,0,2.5,0,0,72.46,0,163.26,42.86,0,0,4.26,0,0,0,0
