stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.69,395.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0,0,0,0,0,0
  5-6,16.05,487.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.77,0,0,0,20.08,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,19.14,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0,0,0,438.74,0,0,0,95.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,19.47,0,0,0,3.04,0,0,0,0,0,0,0,0,0,246.76,17.92,0,0,48.77,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,1.72,5.26,0,35.46,0,0,0,0.99,1.92,0,0,0,0,2.8,0,0,0.88,65.89,0,0,0,0,0,0,1.03,0,0,3.49,19.3,0,0,2.99,0
 24-34,0,0,0,0,1.49,0,11.24,0,0,0,0,0,0,0,0.82,0,3.32,0,0,2.49,143.05,0,0.96,0.95,0,0,0,0,0,0.63,0,27.36,0,0,0.9,0
 36-46,0,0,0,0,1.76,0,41.26,0,0.82,10.35,0,0,0,0,0,0,8.49,0,0,0,223.34,0,0.62,0.81,0,0,0,0,0,0,0,33.49,0,0,0,0
 48-58,0,0,0,0,0.4,0,74.84,3.43,0.46,19.66,0,0,0,0,0,1.98,9.51,0.52,1.03,1.85,254.6,0.65,0.42,0.43,0,0,0,0,0,0,0,29.76,0,0,0.44,0
 60-70,0,0,0,0,4.41,0,75.63,3.13,0,10.42,0,0,0,0,0,0,9.53,0,0,0.88,164.99,0,0,0,0,0,3.02,0,0,0,0,23.6,0,0.57,0.57,0
 72-82,0,0,0,0,0,0,62.47,0,0,5.92,0,1.12,0,0,0.64,0,15.62,0,0,4.26,146.78,0,0,0.54,0,0,0,0,0.97,0,0,15.26,0,1.49,0,1.15
 84-94,0,0,0,0,0,8.25,27.69,1.61,0,0,0,0,0.82,2.83,0,0,10.33,0,0,0,83.42,0,0,0,0,0,1.57,0,0,0,0,9.32,1.01,0,0,0
 96-106,0,0,0,0,0.93,2.2,37.8,0,0,7.42,0,0,2.43,0.85,0,0,12.12,0,1.42,0,70.87,0,0,0,0,2.97,0,0,0.82,0,0,2.6,0,0,0.67,0
108-118,0,0,0,0,1.6,0,28.77,1.57,0,12.83,0,0,0.64,4.23,0,0.88,6.56,0,0,0,78.43,0.69,0,1.83,0,0,0,0,0,0,0,4.17,0,0,1.53,0.57
120,0,0,0,0,1.26,0,13.15,0,0,0,0,0,0,0,0,0,3.99,0,0,0,72.86,0,0,0,0,9.36,2.4,0,0,0,0,6.95,2.24,0,0,0
