stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.68,394.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,193.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,12.67,0,0,0,0,0,45.03,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,117.76,3.58,0,0,42.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.95,0,14.72,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,106.17,14.87,0,0,39.29,0,0,13.58,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0,1.07,0,8.1,0.92,0,1.68,0,0.88,0,0,0,0,0,0,0,0,0,0,5.29,0,0,2.55,31.17,0,0,0.84,0,0,2.7,0,1.67,0,1.62,7.22,21.09,0,0,0,0,0
 24-34,0,0,0.71,1.44,8.73,0,0,3.85,0,6.41,0,0.93,0,0,0,0,0.72,0,0,0,15.57,1.39,0,1.69,117.74,0.65,0,1.35,0,0,11.63,0,0,2.53,0,0,26.36,0,0,4.5,0,0.91
 36-46,0,0,0,0,8.96,1.06,0,8.74,0,3.02,0.61,7.01,0,0,0,1.54,0,0,0,0,10.06,1.07,0,3.41,70.61,0,0.91,0,0,0,38.8,0,0,0,0,0,18.58,0,0,1.03,0,0
 48-58,0,0,0,0,6.77,0,0,22.44,0.81,0.5,0,13.66,0,0,0.55,0,0,4.07,0,2.38,29.76,1.46,0,4.73,84.98,0,3.94,0,0,0,13.65,0,0,0,0,0,26.03,0,0.4,3.49,0,5.33
 60-70,0,0,0,0,5.56,0,0,43.46,0,9.77,0.76,21.12,0,0,0,0,0,5.47,0,0,25.16,0,7.45,3.29,84.94,1.83,0,5.67,0,0,8.85,0,0,0,0,0,10.47,0,0.6,0,0,10.65
 72-82,0,0,0.98,0,5.3,14.78,0,34.1,1.21,0.81,1.29,14.53,0,0,0,0,0,0,0,0.57,53.5,1.05,1.49,1.5,65.87,0,1.41,1.07,0,3.95,18.74,0,0,0,0,0,5.83,0,1.88,9.04,4.72,16.2
 84-94,0,0,3.52,0,6.13,16.34,0.76,20.73,1.17,0,1.43,31.38,4.62,0,2.1,4.8,0,1.25,0,3.35,57.75,0,2.31,3.16,53.09,0,0,1.93,0,0,36.55,0,0,0,0,0,0,0,9.23,4.25,0,12.76
 96-106,0,0,0,0,7.3,5.75,0,24.66,0,0.91,0,24.3,0.79,0,2.01,2.76,0,2.42,4.47,1.03,44.64,0,1.24,0.71,46.79,0,2.52,2.56,0,1.45,40.97,0,0,0.69,0,0,3.43,8.44,0.83,5.69,0.92,0.79
108-118,0,0,0,0,6.99,12.96,1,39.99,1.33,2.1,4.11,25.06,2.18,0,0,5.75,2.81,3.42,0,0,56.26,2.04,6.75,1.58,72.23,0.62,3.35,0,0,0,13.27,0,0,1,1.12,0,3.54,0.43,0,2.78,3.81,6.22
120,0,0,0,0,14.38,1.5,0,12.23,0,4.41,0,23.22,6.74,0,4.91,11.27,0,1.92,2.23,0,36.15,0,0,3.52,155.15,4.31,0,1.66,0,0,10.56,0,0,0,0,0,0,0,3.38,2.43,6.09,0
