stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,109.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0
  7-9,28.31,26.59,0,0,97.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810.13,0,0,0,248.12,0,0,0,0,0,0,0,0,0,0
 10-12,58.5,69.2,0,4.67,302.29,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,2083.9,31.88,0,0,343.62,0,0,0,47.39,0,8.89,0,0,0,0
 14-21,0,0.84,34.81,4.43,24.73,0,0,0,1.94,0,0,0,0,0,0,0.93,0,28.91,0,24.89,644.82,1.35,0,5.06,4.11,0,0,18.19,0.94,5.8,18.27,99.84,0,0.9,0
 24-34,0,1.34,28.7,0,40.23,0,1.11,2.16,9.38,0,0,5.27,0,0,0,0.72,0,82.08,1.52,35.44,997.22,0,0.73,3.82,0,0,0,0,0,0,6.36,131.33,0,6.34,0
 36-46,0,0,20.18,0,11.55,0,8.82,4.3,52.55,0,0,2.27,0,0,0,0,0,139.18,0.98,29.19,769.57,0,0,4.14,0,0,0,0,0,0.83,0.83,152.53,0,3.99,0
 48-58,0,0,7.27,0,22.18,0,1.02,5.14,97.53,0,0,0.66,0,0,0,0,0,106.07,1.34,21.32,349.98,0,0,0.39,0,0.39,0,0,0,0.46,0,74.24,0.4,0.55,0
 60-70,0,0,0,0,8.65,0,0.67,11.3,74.1,0,0,0,4.08,0,0,0,0,148,4.74,22.95,232.82,0,0.9,8.8,0,0,0,0,0,0,0,23.52,3.03,0,0
 72-82,0,0,4.76,0,13.13,0,2.62,5.11,30.98,0,0,0,0,0.53,0,0.95,0,124.22,2.02,12.79,143.17,1.46,0,4.22,0,0,0,0,0,0,0,4.92,1.76,0,3.41
 84-94,0,0,22.11,0,22.95,3.32,0.63,0,40.67,0,0,9.34,0,0,0,0,0,133.67,6.06,9.8,129.24,0,0,0.74,0,0,1.94,0,0,0,0,13.38,3.19,1.69,4.91
 96-106,0,0,21.74,0,17.34,0,0.58,3.81,23.61,0,0,0,0,0.74,0,0,0,114.81,12.51,7.4,100.13,0,0,1.58,0,0,0,0,0.82,0,0,0,2.23,0.57,2.66
108-118,0,0,12.05,0,28.21,0,0,0.96,31.9,0.52,0,0,0,0.44,1.77,0,1.46,104.8,10.22,9.97,84.91,0,0.47,0.56,0,0,0.47,0,0,0,0,0,1.23,2,1.18
120,0,0,17.54,0,6.93,0,2.29,0,98.04,0,0,0,0,3.6,0,0,0,91.44,0,4.41,95.28,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0
