stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,22.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,6.8,15.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,0,0,0,19.06,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,4.28,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,0,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,19.17,1.23,0,0,0,0,0,0,9.56,0,0,5.65,0,0
 24-34,0,0,0,2.42,0,3.7,0,0,4.13,0,0,0,0,0,0,2.11,3.87,0,0,3.94,146.01,0,5.28,0,0,0,0,0,60.35,0,0,67.81,0,8.92
 36-46,0,0,0,3.29,0,6.69,0.79,0,0.98,0.56,0,0,0,0,0,24.39,13.59,0,0,0.59,375.66,0,7.09,0,0,0,1.03,6.65,116.48,0,0,76.83,0,25.4
 48-58,0,0,0,3.47,0,47.49,0,0.55,8.37,0,0.55,0,0,10.62,0,19.13,4.45,0,0,0,531.91,0.5,3,0,0,3.29,0,0,109.39,0,0,48.7,0,31.1
 60-70,0,0,0,1.15,0,185.22,0,0,18.85,0,0,0,0.58,7.16,0,10.43,5.48,0,0,0,966.49,0,3.69,0,0,0,0,0,194.7,0,0,29.01,0,27.48
 72-82,0,0,0,2.69,0,326.85,0.5,0,53.7,0,2.63,0,0,3.48,0,20.08,17.37,0,1.3,0,1198.79,0,11.25,0,0,0.7,0,0,129.15,1.21,0,76.96,0.7,8.83
 84-94,0,0,0.66,13.83,2.29,285.72,0,0,34.7,0,1.45,0,0,0.71,0,32.63,10.05,0,2.23,2.13,996.01,0,5.02,0,0,0,0,0,54.87,0,0,88.07,0,11.43
 96-106,0,0,0,4.41,22.63,290.99,0,0,125.37,0.83,0,0,0.77,0,7.13,17.14,15.59,0,0.92,0,888.6,0,8.26,1.39,0,3.76,0,0,34,2.03,0.88,126.17,0,20.08
108-118,0,0,2.38,5.65,0,346.21,0,0.5,106.84,0,0,1.26,0,1.57,0,21.89,31.23,1,0.5,1.13,1331.88,0,3.34,0,0,3.99,0,0,44.86,1.56,0,79.23,2,10.47
120,2.37,0,2.94,8.18,0,287.38,0,0,145.52,0,0,0,0,3.91,0,2.89,12.82,0,2.35,0,2035.22,0,0,0,0,1.97,0,0,83.62,0,0,33.65,0,1.1
