stage,axial,epidermis,eye,gut,hatching_gland,iridophores,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.38,0,11.28,0,0,0,0,0
 14-21,0,0,1.03,0,0,0,0,5.4,0,0,0,2.97,1.77,0,0
 24-34,0,0,0,0,0,0,0.6,2.44,0,0,1.27,0,0,0,0
 36-46,0,0,0,0,0,0.56,0,3.54,1.33,0,10.47,0,2.74,0.73,0
 48-58,0,0,0,0,0,0,0.78,0.48,0,0,3.5,0,1.35,0,1.32
 60-70,0,0,0,0,0,0,0.81,6.46,0,0,0,0,0,0,0
 72-82,0,0,0.72,0,0,0,0.98,11.53,0,0,0,0,0.99,0,0
 84-94,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0
108-118,0,0,0,0,0,0,0.99,0,0,0,2.62,0,0,0,0
120,0,1.64,0,1.79,0,0,0,0,0,0,0,0,0,0,0
