stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,14.32,118.05,40.05,0,25.44,0,2.04,0,20.4,7.16,12.03,6.24,0,2.97,0,0.92,7.08,0,83.97,0,0,57.79,333.77,58.28,0,2.73,17.77,0,6.94,2.97,67.7,48.78,2.25,66.75,244.02,0,0,17.99,0,10.49
 24-34,0,2.78,4.92,54.57,4.69,0,72.85,0,11.94,1.7,54.89,3.82,0,5.99,5.76,13.59,1.14,4.29,1.88,11.06,141.3,4.67,0,77.22,529.9,9.8,8.68,17.27,0,1.61,17.96,0,0,54.59,3.73,12.05,217.51,0,0,65.49,0,80.62
 36-46,0,0.98,0,8.09,0.81,0,107.78,0,2.99,12.11,122.18,0,0,3.88,17.41,3.19,2.81,5.62,2.63,13.31,217.06,1.17,3.01,53.6,564.61,16.42,7.18,12.54,0,0,14.55,0,1.05,57.04,0.84,0,252.04,0,0.85,35.8,0,130.26
 48-58,1.15,0,1.29,3.98,5.74,0,125.6,0.78,1.8,11.65,197.48,0,4.17,2.96,16.53,5.11,11.04,9.9,6.73,1.79,278.77,4.67,5.77,40.48,357.45,16.83,3.56,15.56,0,1.62,9.86,0,0,9.52,3.12,0,227.58,0,0.61,36.58,1.78,229.02
 60-70,0,0,0,21.22,1.17,0,152.41,1.17,3.63,23.25,250.1,0.75,0,1.89,33.92,6.34,1.07,5.41,6.22,0.72,367.86,7.38,17.4,26.77,178.76,0.68,8.57,19.69,0,2.98,5.86,0,0,16.99,0,0,136.52,1.61,4.73,24.61,1.46,145.99
 72-82,0,10.34,2.23,27.03,12.46,0,240.04,2.23,2.88,19.56,322.25,13.3,0.6,7.74,38.47,6.66,2.7,14.85,5.43,4.56,592.71,5.42,18.82,45.48,208.72,3.22,7.21,45.05,0,5.78,12.65,0,0,16.73,0,0,65.48,5.74,14.17,80.61,16.81,124.52
 84-94,0,15.19,1,38.46,12.31,0,224.9,1.38,4.46,11.31,237.54,19.26,0,4.4,50.32,8.13,6.11,7.25,10.39,9.77,466.64,25.8,25.62,22.24,159.34,7.52,10.47,40.45,0,0,37.86,1.4,0,18.93,0,0,56.78,2.4,17.59,27.13,11.84,58.73
 96-106,0,21.42,6.68,46.41,35.58,0,273.65,0,4.88,9.06,294.57,45.36,0,5.91,45.15,15.69,8.79,18,11.52,2.6,468.19,16.18,19.85,16.95,123.81,3.59,18.91,53.73,0,7.68,42.36,3.39,0,13.29,0,0,56.67,4.82,19.73,49.02,23.86,37.53
108-118,0,7.84,8.76,49.05,10.66,6.8,420.35,4.8,7.61,7.98,312.85,35.2,0,5.76,38.21,8.22,17.81,9.18,20.73,7.94,443.16,10.35,11.45,24.57,195.95,6.81,14.71,54.73,0,2.05,36.06,0,0,12.6,0,0,35.82,7.72,16.13,55.84,11.32,34.33
120,0,4.23,1.27,55.92,8.27,1.03,171.72,0,5.79,10.16,176.07,45.51,0,3.06,104.87,13.15,18.31,14.15,14.72,1.6,199.63,6.6,2.21,18.76,120.94,16.16,4.88,35.69,0,9.74,16.2,0,0,5.36,1.6,0,38.99,12.77,8.64,47.62,18.14,64.33
