stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4.27,21.48,3.37,4.34,0,0,1.18,0.95,0,0.95,0,0,6.77,0,2.54,120.1,0,2.38,0,3.73,2.29,9.04,1.28,1.29,15.64,0,0,0,0
 24-34,0,0,0,41.7,0,0,5,0,0,0,0,0,10.98,0,2.92,284.66,0,0,0,0,0,0,0,0,52.67,0,3.18,0,0
 36-46,0,14.4,0,89.6,1.12,0,6.15,0,0,2.43,0,0,10.74,0,1.67,335.42,3.79,0,2,0,1.09,0,0,0,26.43,0,0,0,0
 48-58,0,4.9,1.42,112.6,0,0,15.83,0,0,0,1.04,3.6,24.08,5.07,5.01,247.32,0,0.92,2.51,0,1.25,0,0,0,28.46,0,0.48,0,0
 60-70,0,10.07,0,118.67,0,0,12.03,0,3.27,0,0,2.83,38.22,1.82,0.6,249.03,0,0,0,0,0,0,0,0,39.68,0,5.36,0,3.59
 72-82,0,1.47,1.45,48.44,0,0,6.1,0,0,0,0,0,2.74,3.15,0,67.02,0,0.79,0,0,1.6,0,0,0,4.11,0,0,0,0
 84-94,0,0,0.56,34.84,0,2.82,3.52,0,4.84,0,1.67,2.4,10.81,1.4,0,65.87,0,0,0.66,0,0,0,0,0,13.1,1.03,2.16,1.15,0
 96-106,0,0.94,0,30.03,0,0,3.15,0,0,0,0,0,2.76,0,0,30.29,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.59,1.2,64.37,0,0,4.84,0,0,0,0.65,0,1.15,0,0,94.58,0,0.95,0,0,0,0,0,0,2.47,0,0,0,0
120,0,0,0,63.57,3.37,0,11.37,0,0,0,0,0,5.32,2.35,3.04,118.9,0,0,0,0,0,0,0,0,0,0,0,0,0
