stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.45,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,59.8,4.27,0,0,22.01,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.97,3.16,0,0,6.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,8.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.21,0,5.67,0,0,0,0,0,1.35,89.52,0,0,0,0,0
 24-34,0,2.47,0,1.39,0,17.24,0,0,1.06,0,0,0,0,0,0,0,0,12.93,0,0,1.9,752.76,0,32.4,0,0,0,0,0,0,202.92,0,0,1.31,0,0
 36-46,0,0,0,0.83,0,137.34,0,0,19.8,0.66,0,0,0,0,0,0,0.85,2.26,0,0,0.89,2227.1,0,45.66,0,0,0,1.7,0,0,443.41,0,0,0.56,0,1.54
 48-58,0,0,0,3.15,0,476.25,10.62,0,57.51,0,0,0,0,0,0,0,7.48,11.52,0,0.37,1.62,2144.82,0.64,21.04,12.46,0,0,1.43,0,0,407.71,0,0,0.39,0,23.54
 60-70,0,0,0,26.31,0,1102.05,2.82,1.48,43.26,0,0,0,0,0,3.02,1.02,0,13.56,0,0,4.03,2448.06,0,20.4,4.44,0,0,3.14,0,0,370.03,0,0,0,0,0
 72-82,0,0.49,0,8.13,5.21,1147.76,0,1.22,57.06,1.68,0,0.51,0,0,0,1.34,0,17.08,0,0.65,4.39,2054.41,0,29.01,2.74,0,0.71,2.83,0,0,218.52,0,1.32,4.44,0.57,3.65
 84-94,0,2.24,0,9.4,0.6,707.03,0,1.93,47.04,1.66,0,0,0.6,1.56,3.38,0,0,22.55,0,1.77,0,1460.11,0,9.55,7.67,0,0,5.59,0,0,154.75,2,0,0.78,2.8,0
 96-106,0,3.89,0,10.76,0,836.15,0,0,45.29,2.66,0,0.73,0,0,1.56,1.79,0,19.53,2.28,0.59,0,1167.84,0,31.31,5.84,0,0,3.63,0,0,75.53,0,0,11.75,0,2.47
108-118,0,2.86,0.74,21.78,0.58,738.71,0,4.07,43.29,2.19,0,0,0,0,2.49,0,4.47,24.75,0.53,0.5,0.64,1495.71,1.15,22.05,13.82,0,0,0.57,2.96,0,85.66,1.82,0,0,3.37,0.87
120,0,0,0,11.53,1.68,602.68,0,0,94.99,0,0,1.15,8.92,0,0,0,0,17.52,0,0,0,2335.36,15.28,15.28,20.24,0,0,0,0,0,118.82,0,0,0,4.27,20.66
