stage,eye,glial,mesenchyme,muscle,neural,somites
 14-21,0,0.82,0.89,0,1.47,0
 24-34,1.59,0,0,0,7.8,0.61
 36-46,10.7,0,0,0,3.1,0
 48-58,1.36,0,0,0.52,2.1,0
 60-70,0,0,0,0,2,0
 72-82,0,0,1.2,0,2.39,0
 96-106,0,4.49,0,0,3.9,0
108-118,0,0,0.99,0,1.53,0
120,0,0,1.47,0,0,0
