stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,5.13,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,6.65,0,1.76,0,0.66,0,0,0,0,0,0.78,2.52,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.38,0,0,0,14.88,3.84,0,0.85,0,0,0,2.85,0,0,0,0.64,1.23,0,0
 48-58,0,2.52,0,0,0,0,0,0.85,0,0,3.04,0,0,0,14.75,8.54,1.27,22.51,0,0,0,3.77,0,0,0,1.56,2.42,0,1.62
 60-70,0,0,0,0,2.41,0,0,0,0,0,3.54,0,0,0,48.13,53.95,2.56,3.78,0,0,0,8.32,0,10.1,0,1.11,13.47,0,23.11
 72-82,0,0,0,0,5.11,0,0,0.55,5.32,0.79,9.34,0,0,0,111.21,42.93,1.92,11.45,0,4.5,0,19.75,0.55,0,0,0,36.25,1.24,67.38
 84-94,0,0.72,0,0,9.03,4.45,0,2.31,0,0,0,0,0,0.66,81.24,64.61,2.97,5.57,0.67,0,0,10.09,1.45,1.27,0,0,51.56,0,63.68
 96-106,0,2.64,3.57,0,2.03,0,0,1.1,0,0,3.42,0,2.21,0,74.18,44.25,6.72,25.8,0,0,0,41.66,1.37,0,0,0,59.87,2.66,90.14
108-118,0,0,0,0.45,3.78,2.37,0,1.1,5.44,0.46,2.64,0.65,0,0,74.58,41.24,2.38,18.62,0,0,0,86.08,0,1.76,0,0,77.43,0,65.04
120,0,0,0,0,0,1.36,1.11,0,1.21,0,6.1,0,0,0,132.94,49.75,6.08,24.61,0,0,0,67.94,5.65,1.47,0,0,53.1,0,113.21
