stage,epidermis,eye,fin_mesenchyme,immune,iridophores,mesenchyme,neural,olfactory,presomitic_mesoderm,pronephros,spinal_cord,taste
 14-21,0,0,0,0,0,0,0,0,1.57,0,0,0
 24-34,0,0,0,0,0,0,0,17.58,0,0,0,0
 36-46,0,0,0,0,0,0,4.85,30.61,0,0,0,0
 48-58,0,0.99,0,0,0,0,0,30.37,0,0,0,0
 60-70,0,0,0,0,0,0.64,0,8.78,0,0,0,0
 72-82,0,1.31,0,0,5.13,0,0,49.24,0,0,0,0
 84-94,0,0,1.26,0,0,0,0,53.22,0,0.71,3.16,0
 96-106,0,0.79,0,1.97,0,1.27,16.15,104.1,0,0,0,0
108-118,0.7,3.2,0,0,1.44,0,1.44,70.38,0,1.54,0,0.55
120,0,0,0,0,0,0,0,110.4,0,0,0,0
