stage,blastomeres,eye,glial,immune,mesenchyme,neural,otic,spinal_cord
  5-6,7.04,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.6,0,0.76
 48-58,0,0,0.76,0,0.37,0.88,2.13,2
 60-70,0,0,13.4,0,0,1.4,4.02,0
 72-82,0,0,18.14,3.51,0,0,16.02,0
 84-94,0,0,2.77,0,0,0,22.52,0
 96-106,0,0,28.37,0,0,0,11.47,0
108-118,0,0.57,16.47,0,0,2.8,20.78,0
120,0,4.64,16.38,0,0,0,1.28,0
