stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,101.12,0,4.41,0,0,0,0,0,0,0,0.97,0,0,1.59,0,0,17.57,11.45,0,0,0,0,0.85,0,0,3.66,0,0,0,0,0
 24-34,0,0,62.57,0,6.72,0,19.37,3.21,1.8,0,0.86,0,2.08,0,0,56.51,0,1.21,104.57,34.6,0,9.17,0,0,1.64,0,2.86,33.63,0,0,0,0,1
 36-46,0,0,29.33,5.85,1.29,0,24.62,6.11,3.12,0,0,0,0,0,0,162.25,0,8.84,94.92,132.16,0.71,10.75,0.72,7.92,0,0,0,39.45,0,0,0,0,0
 48-58,0,0.54,52.45,0,22.33,0,20.97,5.06,3.69,0,6.27,0,0,0.38,0.6,171.8,0,5.2,51.73,259.76,0,9.66,0,0.96,0.49,0,0,38.36,0,0,0,1.68,0.94
 60-70,0,0,55.04,0,66.34,0,18.94,0,6.29,0.73,1.07,0,1.02,0,0,175.53,0,3.83,30.81,372.92,0,7.66,0,1.9,3.12,0,0,48.58,1.22,5.97,0,5.11,0
 72-82,0,0,50.68,1.84,96.94,0,12.19,5.73,9.83,0,11.9,0.5,0.56,3.29,0,221.41,0,17.77,40.24,645.38,0,14.15,0.81,7.9,0,0,0,31.24,0,13.89,0.95,18.66,0
 84-94,1.23,1.15,74.29,1.1,56.4,0,23.15,8.95,11.19,0,9.75,0.7,0.75,0,0,193.22,0,34.79,30.26,355.56,0,14.48,4.04,0,3.7,0,0,14.95,4.54,15.26,0,13.95,0
 96-106,0,1.08,65.38,3.73,57.49,0.9,20.04,0.72,5.09,1.62,16.56,1.61,1.06,2.14,0,152.13,0,15.88,26.59,374.16,0,18.4,0,11.1,3.86,0,0,31.03,6.01,14.22,0,24.96,19.45
108-118,0,0,101.55,4.46,80.11,1.02,27.12,6.24,11.42,2.31,7.18,0,0.71,1.49,0,210.93,0.47,16.41,29.87,418.45,0,21.36,3.19,14.37,6.73,0.65,0,13.95,6.19,6.34,0,35.4,0
120,0,2.44,58.17,0,102.43,0,23.32,0,2.56,0,28.85,0,0,0,0,107.57,1.13,41.83,30.72,702.68,0,24.34,0,11.51,2.86,0,0,31.87,0,20.16,2.12,26.81,0
