stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,otic,periderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0.95,0,0,0,14.24,3.07,0,0
 24-34,1.36,0,2.45,0,0,0,0,0,5.08,16.69,0,0,12.71,2.35,6.45,0
 36-46,0,2.58,15.45,0,0,1.18,0,2.54,3.3,16.34,0,0,6.45,3.05,13.16,0
 48-58,0,0,10.19,0,0,0,0,0.61,3.47,10.75,0,0,3.56,0,3.01,0
 60-70,0,13.14,15.41,0,0,0,0,0.69,1.2,17,0,0,0,0,7.56,0
 72-82,0,3.52,20.54,0,0,0,0.49,1.47,0,13.22,0,0,2.68,0,1.17,1.47
 84-94,1.68,0.81,34.02,0,0,0,0,0,1.32,3.26,0,0.65,20.04,0,4.39,0
 96-106,0,2.08,0.71,0.81,0,0,0,0.83,1.03,2.79,0,0,0,0,0,0
108-118,0,0.57,12.98,0,0.48,0.72,0,0.97,1.05,4.89,0,0,6.31,0,0,0
120,0,1.54,3.17,0,0,0,0,0,0,8.24,7.68,0,0,0,0,0
