stage,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,neural,otic,paraxial_mesoderm,spinal_cord
  3-4,44.88,0,0,0,0,0,0,0,0,0,0
  5-6,26.57,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.97,0,16.82,0,0,8.21,53.73,0,3.68,0
 10-12,0,0,0,0,0,0,0,44.26,0,15.93,0
 14-21,0,0,0.81,0,0,0,0,1.86,0,0,1.05
 24-34,0,0,0,0,0,0,0,0.92,0,0,0
 36-46,0,0,0.71,0,0,0,0,0,0.69,0,0
 48-58,0,0,0,0,1.11,0,0,3.06,0,0,1.02
 60-70,0,0,0,2.34,0,0,0,10.31,0,0,0
 72-82,0,0,0,0.93,0,0,0,0,0,0,0
 84-94,0,0,0,0.55,0,0,0,0,0,0,0
 96-106,0,0,0,1.99,0,0.66,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.78,0,0,0
120,0,0,0,0,0,0,0,3.7,0,0,0
