stage,eye,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  7-9,3.49,0,0,9.43,0,19.05,0,0,0,0
 10-12,4.85,0,0,5.09,0,12.03,0,0,0,0
 14-21,0,0,0,2.82,0,0,0,0,0,4.43
 24-34,0,0,0.64,2.78,0,0,0,0.79,0,0
 36-46,0,0,0,3.95,0,0,0,0,0,0
 48-58,1.42,0,0,0.56,0,0,0,1.88,0,0
 60-70,2.08,0,0,0,0,0,0,0,0,0
 72-82,0,0.51,0,2.82,0,0,0,0,0,0
 84-94,0,0,1.1,0,0,0,0,0,0.56,0
 96-106,0,0,0,2.98,0.87,0,0,0,0.58,0
108-118,0,0,0,9.96,0,0,1.12,0,0.44,0
120,0,0,0,0,3.86,0,0,0,3.15,0
