stage,axial,blastomeres,neural,paraxial_mesoderm,periderm
  3-4,12.37,928.3,0,0,27.52
  5-6,66.87,417.96,0,0,7.18
  7-9,0,6.88,3.31,4.2,0
 10-12,0,0,0,12.64,0
