stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1674.42,52462.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444.71,0,0,0,0,0,0,0,0,0
  5-6,3007.33,120025.73,128.25,0,0,0,0,0,0,0,0,660.64,0,0,0,0,0,0,0,0,0,4595.08,0,0,0,728.19,0,1248.63,0,0,0,0,0,0,0,0,0
  7-9,236.12,3223.49,9043.07,0,85.52,9167.11,0,0,0,0,0,2135.35,0,0,0,0,0,0,0,0,0,119518.64,198.17,0,0,16768.36,0,211.65,0,0,0,0,0,0,0,0,0
 10-12,0,490.18,580.99,0,82.52,2040.46,0,0,0,0,0,43.07,0,0,0,0,0,0,0,0,0,17204.57,22.21,0,0,1191.16,0,46.97,0,251.7,0,7.22,0,0,0,0,0
 14-21,0,0,0,25.01,2.07,3.93,0,0,0,1.27,0,0,0,0,0,0,0,5.33,11.13,0,10.33,41.03,0,0,0,4.39,0,3.66,7.16,0,1.34,6.94,16.55,0,0,0,0.97
 24-34,0,0,0,3.44,0,3.7,0,0,0,4.07,0,0,0,0,0,0,0,1.55,21.79,0,11.19,130.86,0,3.71,0.67,0,0,0,0,0,0,3.48,33.58,0,0.98,0,1.47
 36-46,0,0,0,13.32,0,19.42,0,0,0,4.93,0,0,0,0,0,4.52,0,47.54,20.14,0,9.15,170.51,0.65,2.21,0,0,0,0,0,0,0,0.6,47.81,0,0,0,23.53
 48-58,0,0,0,3.65,0,29.65,0,0,0,4.33,0,0,0,0.8,0.39,3.08,0.46,36.37,31.58,0.92,7.93,178.81,0,0,0,0,0,5.51,0,0,1.3,0,43.64,0,1.13,0,32.53
 60-70,0,0,0,0.66,0,31.89,4.19,0,1.48,23.85,0,0,0,0,0.86,16.89,0,16.93,22.64,0,4.68,155.75,0,1.17,0,0,0,2.78,0,0,0,0,35.68,0.61,0,0.87,46
 72-82,0,0,0,0.59,0,31.21,0,0,0,43.02,0,0,0,0,0,15.07,0,12.97,31.07,1.52,1.37,178.56,0,1.08,0.51,0,0,0.5,0,0,0,0,28.86,1.49,0.54,1.13,17.31
 84-94,0,0,0,11.18,0,42.17,0,0,0.65,22.7,0,0,0,0,0.92,16.14,0,20.58,36.13,2.23,4.24,138.76,0,0,1.41,0,0.83,1.05,0,0,7.9,0,19.41,1.91,1.92,0,11.74
 96-106,0,0,0,1.17,0,32.94,0,0.91,0,78.26,1.63,0,1.64,1.03,0,6.7,0.75,14.55,37.64,0,4.73,99.81,0,1.18,0.6,0,0,0.6,0,0,0,0,1.5,0,2.66,1.03,16.22
108-118,0,0,0,5.33,0,29.11,0,0,4.52,53.94,0.91,0,0,0,0,13.14,1.24,34.41,30.71,1.05,1.36,126.32,0,0,0.88,0,3.19,0,0,0,0,0,2.64,0,0.98,1.36,20.9
120,0,0,0,10.3,0,33.5,0,0,0,78.98,0,0,0,0,0,6.72,0,4.81,26.25,0,13.42,260.99,1.17,3.68,3.74,0,17.39,1.17,0,0,0,0,11.7,0,0,0,17.42
