stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,0,0,0,4.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0,0,0,4.01,0,0,0,0,0,0,0,0
 14-21,3.56,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0,0,9.58,0,4.42,0,0,0,0,0,0,16.37,0,0,0
 24-34,22.48,0,0,0,0,1.74,0,0,0,1,0,0,0,0,0,0,0,0.64,0.69,0,0,224.44,0,29.54,0,0,0,0.66,0,0,37.86,0,0,0
 36-46,8.94,0,9.05,0,0,42.39,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,767.14,0,33.3,0,0,0,5.26,0,0,105.71,0,0,0
 48-58,3.24,0,7.39,0,0,130.81,0,0,0.5,17.12,0,0,0,0,0,0,3.07,5.69,0.55,14.88,3.11,1379.45,0,29.55,0,0,0,2.85,0,0,171.01,0,0,0.84
 60-70,5.23,0,6.6,0,0,207.79,0,0.94,0,20.43,1.23,0,0,0,0,0,10.94,3.24,0.63,0,0.58,1508.37,0,23.3,0,0,0,0,0,0,158.81,0,12.8,0
 72-82,15.78,0,2.74,0,0,190.74,0,0,0,42.91,3.94,0,0,2.86,0,0,0,15.24,0,0,0.53,1543.18,0,43,0.91,0,0,7.16,0.97,0,156.21,0,0,0
 84-94,25.94,0,1.6,0.88,0,168.26,0,0,0,37.96,11.55,0.7,1.59,0,0.9,0,0,20.58,0,1.31,1.26,913.5,0.66,37.14,2.15,0,0,0.85,0,1.43,106.86,0,7.71,0
 96-106,12.52,0,6.66,8.03,0,114.67,0,0,0,30.46,0,0,0,1.31,0,0,0,3,0.69,0,2.59,751.94,0,32.5,0,0,0,4.84,0,0,52.78,2.03,0,0
108-118,11.36,0,5.03,1.63,0.76,104.24,0,0,1.75,34.83,7.81,0,0,0,0,0.56,0,5.66,3.77,0,2.66,878.92,0,38.16,1.26,0,0,5.94,0.94,0,26.38,0,0,0
120,0,1.28,14.36,0,0,145.07,2.94,0,2.41,65.8,23.31,0,0,0,0,6.54,0,13.11,0,0,2.35,1535.7,0,43.83,13.55,0,18.18,1.68,0,0,21.9,0,0,0
