stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,55.29,3285.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.15,0,0,0,0,0,0,0,0
  5-6,53.05,2091.45,0,8.02,0,0,0,0,0,0,0,31.98,0,0,0,0,0,0,0,0,0,0,0,172.95,8.7,0,0,45.78,21.06,0,0,0,0,0,0,0,0
  7-9,13.31,63.24,0,60.87,0,0,49.68,0,0,0,0,22.47,0,0,0,0,0,0,0,0,0,0,0,739.44,22.52,0,0,320.89,5.76,14.01,0,0,0,0,0,0,0
 10-12,0,0,0,19.07,0,0,16.58,0,0,0,0,11.83,0,0,0,0,0,0,0,0,0,0,0,275.79,0,0,0,158.08,0,0,4.61,32.23,0,0,0,0,0
 14-21,0,0,0,0.93,39.27,5.4,9.48,0,0,7.81,0,0,0,0,1.5,0,0,0,0,7.22,0,0,3.41,316.54,0,3.16,1.24,6.63,33.69,0,28.42,0,20.69,67.16,0,1.08,0
 24-34,0,0,0,0,13.74,1.47,95.15,0,0,4.8,0,0,0.92,2.46,4.01,0,0.72,0,0,22.26,0.65,0,10.25,644.89,0,9.74,3.49,0,85.91,0,0,0,3.88,94.67,0,17.69,0
 36-46,0,0,0,0,5.7,4.94,419.21,0,0,19.22,0,0,0.65,11.08,2.43,0.56,0,0,0,31.99,0,0.68,7.55,634.58,4.24,4.67,1.74,0,36.28,0,0,1.18,0,65.87,0,6.81,0.81
 48-58,0,0,0,0,8.5,5.17,696.82,0,0,18.39,0,0,0.42,4.93,0.37,4.2,0,0,0,19.98,5.44,1.6,3.49,407.99,0.39,0,0.97,4.77,11.73,0,0,0,0,27.83,0,4.96,3.56
 60-70,0.81,0,0,0,25.49,0.97,669.34,0,0,45.24,0,0,0,12.03,0,0.76,0,0,0,15.52,0,0.62,2.25,263.03,0.75,0,0.91,0,11.83,0,0,0,0,2.94,0,14.6,1.44
 72-82,0,0,0,0,20.88,1.42,219.63,0.55,0,34.32,0.51,0,0,14.18,0.76,3.1,0,0,0,32.76,0.73,1.56,3.4,175.18,1.26,3.17,0,0,4.87,0,0,0,0,6.39,0.67,11.85,1.59
 84-94,0,0,0,0,26.8,0.72,188.59,0,0,31.96,0.9,0,0,23.14,0,4.57,0,0,0,27.99,0,6.79,10.17,118.25,1.05,0,2.71,0,11.86,0,0,0,0,0,0,14.82,0
 96-106,0,0,0,0,12.8,2.33,113.02,0,2.07,24.87,2.49,0,1.82,18.8,0.87,0,1.2,0,0,20.97,0,6.15,3.16,109.45,0,0,1.17,0,9.61,0,0,0,0,3.04,0,5.47,0
108-118,0,0,0.91,0,16.41,5.38,99.92,0,0,34.68,3.24,0,0,19.26,0,0,0,1.16,4.23,7.9,0.42,1.97,9.17,132.49,0.54,2.06,1.85,0,3.4,0,0,0.45,0,1.06,0.81,10.11,0
120,0,0,15.22,0,12.08,8.59,166.27,0,0,46.61,1.32,0,0,31.07,1.36,1.18,0,1.37,0,11.29,0,2.76,11.05,194.04,0,1.31,0,0,0,0,0,0,0,0,0,30.18,0
