stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  3-4,0,88.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,143.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.83,0,0,0,0,0,28.02,0,0,0,0,0,0,0,110.37,0,0,3.73,0,0,0,0,0,0
 10-12,0,5.18,0,15.64,0,0,0,0,0,5.54,0,0,0,0,34.3,0,0,19.2,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.54,0,1.23,0,0,1.4,0,2.63,13.32,0,0,1.02,2.48,0.86,2.25,5.66,0,0
 24-34,0,0,0,0,0.65,1.41,6.25,0,1.36,0,0,3.59,0,0,50.59,0,0,0,1.22,0,0,7.5,0,9.58
 36-46,0,0,0,0,0,0,10.82,1.62,7.34,0,0,2.48,0,0,52.99,0,0,0,2.31,0,0,10.32,0,0.65
 48-58,0,0,0,0,1.72,0.42,21.07,0.89,3.15,0,0.39,5.26,0,0,23.8,0,0,0,0.66,0,0,4.47,0,0
 60-70,0,0,0,0,0,0,11.3,0,10.65,1.21,1.03,6.98,0,1.08,14.56,0,0,0,0,0,0,3.27,0,0
 72-82,0,0,1.09,0,0,0,7.47,0,3.18,0,0,0,0,0,19.88,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,12.37,0,0,0,0,7.17,0.66,0,3.74,0,0,0,4.11,0,0,0,0,5.03
 96-106,0,0,0,0,4.03,0,1.63,0,0,0,3.16,6,0,0,8.66,2.96,0,0,2.17,0,0,0,0.83,0
108-118,0,0,0,0.61,1.4,0,12.05,0,4.04,0,0,0.66,0,0,7.58,0,4,0,0.65,0,0,0,0,3.21
120,0,0,0,0,0,0,4.46,0,2.95,0,0,7.63,0,0,11.34,0,0,0,0,0,0,0,0,0
