stage,blastomeres,erythrocytes,eye,glial,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.81,0,3.56,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.23,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.63,3.38,12.21,1.07,0,0,10.6,0,0.87,0
 24-34,0,0,0,2.82,0,0,0,0,2.79,0,69.26,0.84,0,0,44.51,0,5.78,0
 36-46,0,0,3.53,2.67,0,0,0,1.44,4.74,0,193.98,0,0,0,50.15,0,6.36,8.57
 48-58,0,0,31.23,5.09,0,0,0,0,5.39,0,105.27,1.15,0,0.88,44.36,0,0,0
 60-70,0,0,32.71,4.15,0,0,0,0,9.05,0.6,76.49,0.92,0,0,14.43,0.6,0,0
 72-82,0,0.89,30.41,8.15,1.42,0.75,0,0,17,0,32.37,0,0,0,10.23,0,1.99,1.16
 84-94,0,0,29.63,3.03,0,0.76,0.57,0,14.13,1.32,58.66,0,0,0,25.66,1.26,0,0.88
 96-106,0,0,20.25,0,0,0,0,0,10.31,0,24.39,0.66,0,0,0,0,0,1.36
108-118,0,0,29.02,0,0,1.37,0.55,0,18.27,0,54.04,0,0,0,0.96,0,0.49,2.63
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58
