stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,120.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.04,0,0,0,0,0,0,0,0,0,49.07,5.9,0,0,45.04,0,0,0,0,0
 10-12,5.21,0,0,0,0,12.96,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,111.12,0,0,0,36.05,0,12.54,0,0,0
 14-21,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0
 24-34,0,0,0,0,0,0,0,0,0.87,0.73,0,0,2.8,0,0,0,0,0.61,0,10.75,10.58,0,10.2,0,0,0.66,0,19.38,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,2,0,0,0,13.7,0,10.14,0,0,6.06,0.82,13.63,0,0
 48-58,0,0,3.74,0,0,5.9,0,0,0,0,0,0,0.46,0,0,0,0.42,0,0,0.54,17.22,0,4.05,0.69,0,3.26,0,7.71,0,0
 60-70,0,0,7.19,0,0,3.78,0,0,0,0,0,0.98,0.59,0,0,7.19,0,0,0,1.65,23.38,0,3.05,0,0,7.98,0,11.13,0.61,0
 72-82,0,3.38,4.98,0,0,5.79,0,0,1.41,3.57,0,0,1.86,0,0,0,15.41,0,0,0,20.02,0,9.14,0,0,26.41,0,12.56,4.06,5.53
 84-94,0,7.17,27.45,0,0,5.82,6.26,0,1.11,14.08,0.66,0,8.72,0.79,0,0.6,3.3,0,0,0,17.48,0.98,6.48,0,0,38.43,0,3.14,17.22,0
 96-106,0,0.89,35.02,0,1.97,2.21,4.97,0,0,11.74,0,0,4.79,0,3.52,0,0.76,0,1.67,0,12.05,0,6.9,0,0,59.55,0.59,1.95,16.51,0
108-118,0,1.61,46.81,1.37,0,3.31,8.12,0,0,15,0,0,13.59,0,2.32,0,2.19,0,0,1.34,11.83,0,3.77,0,0,67.18,0.62,2.24,28.36,0
120,0,0,54.39,0,0,0,3.34,5.02,0,30.53,0,0,12,0,1.84,0,0,0,0,0,42.8,0,9.94,0,0,32.44,0,3.65,11.17,0
