stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,1.18,0.82,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,0,1.26,0.89,0,0,0,0,0
 24-34,0,0,5.27,0,0.6,0,0,0,0,0,0,0,0,2.93,0,1.68,0,0,0,1.58,0,0,0,0
 36-46,0,0,13.46,0,0,0,0,0,0,0,0,0.94,0,14.89,0,0,0,0,0,8.34,0,0,0,0
 48-58,0,0,77.06,0.48,5.35,0,11.71,0,0,0.38,0,0.53,0,9.43,0,0,0,0,0.52,2.17,0,0,0,0
 60-70,0,0,809.08,0,0,0,0,0,0,0,0,5.21,3.13,28.04,0,0,0,0,0,9.8,0,0,0,4.7
 72-82,1.93,5.75,1448.11,0,0,0.79,8.7,0,0,0,0,10.61,0,40.72,0,1.5,3.26,0,0.53,0,3.05,0,0.86,0
 84-94,2.01,0.88,1278.72,0,1.68,0,6.06,1.44,0,5.76,0,14.31,0,27.91,1.25,0,0.85,0,0,0,5.64,0,0,0
 96-106,0.82,16.42,942.59,0,0,0,4.68,0,1.21,0,0,6.66,0,11.87,0,0,8.23,0,0,0,1.89,0,0,0
108-118,10.02,3.1,760.28,0,1.34,0,5.56,1.27,0,0,0,1.67,0.88,41.09,0,0,2.15,0,1.48,0,4.46,1.06,0,2.66
120,17.19,0,476.46,1.99,0,0,10.35,0,0,0,3.76,4.7,0,18.21,0,0,0,0,0,0,0,0,0,0
