stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,7693.17,146133.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5089.61,0,0,0,0,0,0,0,0
  5-6,3635.52,40063.68,25.44,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,832.33,10.72,0,0,155.13,365.65,0,0,0,0,0,0,0,0
  7-9,49.16,36.64,25.69,0,0,55.58,0,0,0,0,0,55.15,0,0,0,0,0,0,0,0,0,0,1314.92,28.72,0,0,371.39,3.63,601.09,0,0,0,0,0,0,0
 10-12,0,4.28,4.25,0,0,68.17,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,349.22,0,0,0,92.56,0,287.21,0,8.53,0,0,0,0,0
 14-21,0,0,0.94,7.77,15.9,3.49,0,0,0,1.31,1.07,1.19,0,0,0,0,0,0,3.52,0,0,3.06,47.43,0.81,0,1.09,3.82,4.72,14.96,9.79,0,4.34,6,16.15,0.96,0
 24-34,0,0,0,2.01,3.88,1.44,0,0.68,1.48,0.77,0,0,0,0,4.02,0,0,0,9.9,0,0,1.31,41.28,0,0.96,0,0,6.69,0,0,0,0,0.63,9.28,6.91,0
 36-46,0,0,0,0,0,5.31,0,2.33,0,0,0,0,2.37,0,3.65,0,0,0,1.63,0,0.89,0,15.84,1.19,0.87,0,0,0.57,1.81,0,0,0,0,2.97,0,0
 48-58,0,0,0,0,0,6.11,0,0,0,1.09,0,0,0,0.44,0.8,0,0,0,13.01,1.67,0,1.37,40.94,0,0,0.68,0,4.38,0.65,0,0,0,0,2.72,0,0
 60-70,0,0,0,4.4,0,1.92,0,0,0,1.21,0,0,0,6.48,0,0,1.55,0,4.98,0,5.32,0,51.77,0,0,0,0,0,0,0,0,0,0,7.34,0,0
 72-82,0,0,0,4.94,0,3.2,0,0,5.38,6.61,0,0,0.51,0,0,0,0.57,0,18.94,0,0,1.9,35.15,0,0,0.5,0,0,0,0,0,0,0,2.55,0,0
 84-94,0,0,0,16.99,2.14,5.94,0,1.15,0,7.16,0,0,0,3.73,4.58,0,0,0,21.05,0,0.55,0.78,32.24,0,0,0,0,0.58,0,0,0,0,0,2.76,0,0
 96-106,0,0,0,3.11,0,4.06,1.24,0,0,10.64,0.68,0,0,0.57,0.6,0,0,0,15.78,0,1.95,0.78,51.39,0,0,0,0,6.62,4,0,0,0,0,0,3.64,0
108-118,0,0,0.74,1.31,0,4.67,0,0,3.26,10.75,0.54,0,0,0.58,1.91,0,0,4.08,17.93,0,0,0,28.73,0,0,4.93,0,0,3.49,0,0,0.57,0,0,1.17,1.96
120,0,0,0,5.3,0,4.55,0,0,0,13.34,2.59,0,0,1.89,1.41,8.39,0,0,24.44,0,0,0,84.7,0,0,1.25,0,0,9.2,0,0,0,0,1.19,1.33,0
