stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,62.88,2113.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.53,0,0,0,0,0,0,0
  5-6,96.86,1596.49,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,93.07,0,0,0,0,13.71,0,0,0,0,0,0,0
  7-9,13.24,27.61,0,3.82,0,0,9.97,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,259.19,14.63,0,0,124.56,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.32,9.92,0,0,23.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.96,15.77,2.98,0,0,0,0,1.98,1,0,3.23,0,0,0,0.83,0.95,0,0.89,7.13,7.31,0,3.1,0,13.9,4.46,0.91,13.13,5.47,0,0,0
 24-34,0,0,0,0,10.17,0,0,0,0,0,0.66,0,0,4.56,0,0,0,2.87,0,0,0.86,15.23,0,0,2.89,0,13.84,0,3.2,2.01,2.64,0,0,0
 36-46,0,0,0,0,2.96,0,0.65,0,0,0,0,0,0,1.46,0,0.57,1.07,2.34,0.88,0,0,22.84,0,6.4,1.47,0,22.14,0,0.58,0,2.6,0,0,0.81
 48-58,0,0,0,0.43,0.37,0,0,1.27,0,0,0,0,0,0.4,0,0.7,0,1.45,0,0,1.11,20.15,0.46,3.3,5.02,0,6.68,0,0.61,0,1.67,0,0,0
 60-70,0,0,0.7,0,1.57,0,1.68,0,0,0,0.62,0,0,1.88,0,0,0,3.01,1.68,6.48,0.56,22.73,0,0,2.91,0,21.55,0,0.59,0,3.55,1.44,0,0
 72-82,0,0,2.07,0,5.12,0,12.89,0,0,1.07,3.88,0,0,0,0,2.72,0,4.52,6.06,0,0,19.63,0.51,2.6,0.79,0,2.63,0,1.22,0,0,1.96,0,1.47
 84-94,0,0,0,0,9.65,0,15.51,0,1.55,0.67,3.18,0,1.65,1.62,0,0,0,9.4,4.03,0,0,4.79,0,15.03,0.55,0,38.74,0,0.58,0,0,0.71,0,0
 96-106,0,0,3.62,0,8.64,0,6.31,0,0.84,1.22,7.27,0,3.32,0,0,0.58,0.95,2.56,1.9,0,0,11.28,0,2.57,3.08,0,20.42,0,1.46,0,1.88,7.6,0.9,1.81
108-118,0,0,0.8,0.61,12.02,0,2.46,0,0,5.65,4.03,0,2.74,2.4,0.43,1.89,1.53,7.62,5.95,0,1.43,34.25,0,4.92,9.06,0,31.06,0,1.45,0,0,5.46,0,0
120,0,0,0,1.28,41.19,0,12.91,1.37,0,13.21,3.78,0,14.96,6.86,0,0,3.92,3.88,0,0,2.58,16.81,1.81,10.96,6.31,0,21.39,0,0,0,11.59,8.78,0,0
