stage,axial,blastomeres,erythrocytes,eye,fin_epithelia,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature
  3-4,0,68.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,9.65,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,7.56,0,0,0,4.03,0,123.73,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.66,0,0,0,15.49,0,74.14,0,2.77,0
 48-58,0,0,0,1.35,0,0,0,0,0,21.78,0,1.04,0,6.63,0,136.38,0.43,2.24,0
 60-70,0,0,0,4.11,0,0,0,0,0,65.96,0,0.58,0,12.97,0,167.23,0,0,0
 72-82,0,0,0,7.08,0,0,0,0,0,106.2,0,6.46,0,7.13,0,279.4,0,0,5.55
 84-94,0,0,0,15.53,0,1.12,1.66,0,0,132.07,0,0,0,19.25,0,467.46,0,0,0
 96-106,0,0,3.54,7.93,2.03,0,0,0,0,251.35,0,0,0,9.44,0,504.4,1.15,0,0
108-118,0,0,0,5.38,0,1.85,2.29,0.67,0,134.61,0.49,4.2,1.52,13.08,0,353.54,0,0,0
120,0,0,0,0,0,0,0,0,0,151.2,0,0,0,40.76,0,571.96,0,0,0
