stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,186.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0
  5-6,0,186.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.74,0,0,0,13.13,0,7.36,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,15.42,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.47,0,0,0,25.35,0,0,17.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.1,30.05,0,0,19.82,0,0,0,0,3.37,0,3.11,0,0,0,0,0
 14-21,0,0,0,13.88,5.44,0,1.1,0,0,0,1.25,0,0,0,0,0,0.88,4.09,0,0,0.9,15.92,1.94,0,0,0,0,1.12,0,2.93,0,2.77,9.59,6.46,0,1.07,0,0
 24-34,0,0,0,2.59,3.75,0,0.83,0.9,3.13,0.68,3.74,0,0.67,0,0,0.65,0,11.87,0.77,0,3.57,39.86,0,0,0,0,0,0.86,0,0,0,0.99,3.14,14.72,0,5.3,0,0
 36-46,0,0,0,0.79,0,0,6.01,0.68,0,0.58,0,0,0,5.21,15.24,0,0,7.75,0,0,5.63,28.56,0,2.89,0,0,0,3.46,0,0,0,3,0,8.87,0,1.67,0,0
 48-58,0,0,0,3.97,0,0,9.59,1.41,0,2.29,4.03,0,0,0,0,0.43,0,4.8,0,0.61,0.59,24.76,0,0,0.43,0,0,3.3,0,0,0,0,0,19.19,0,2.97,0,2.21
 60-70,0,0,0,6.8,0,0,8.8,0,0,0.83,4.4,0,0,0,0,0,0,21.01,0,0.62,2.89,23.34,0,0,0,0,1.22,0,0,0,0,0,0,1.25,0,1.49,1.54,3.29
 72-82,0,0,0,11.35,0,0,4.29,0,0,0,3.19,0,0,0.59,0,0,0,26.63,0,0,0.79,17.61,0,0,1.39,0,2.26,1.65,0,0,0,0,0,0,1.03,0.63,3.95,0
 84-94,0,0,0,5.04,0,0,4.75,0,0,3.86,9.5,1.22,0,1.65,0,0,0.72,45.59,0,1.93,1.59,12.82,1.33,0,0.71,0,0,0,0,0,0,0,0,2.57,0,5,9.42,0
 96-106,0,0,0,1.9,0,0.6,0,0,0,0,3.18,0,0,1.08,0,0,0,8.51,0,0.8,2.67,2.61,0,0,0,0,0,2.92,0,0,0,0,0,0.84,1.78,4.74,2.39,0.8
108-118,0,0,0,2.15,3.09,0,5.75,0.89,0.81,0,4.9,0,0,3.54,0,0,0,24.77,0,1.75,3.64,10.32,0,0,0,0,5.54,0,0,0,0,0,0,0,1.3,1.96,1.07,0
120,0,0,0,0,16.21,0,3.75,2.05,4.39,0,8.3,0,0,1.88,0,0,0,13.48,0,0,1.9,31.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
