stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,otic,spinal_cord,vasculature,xanthophores
  3-4,0,150.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.5,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.84,0,3.08,0,2.74
 36-46,0,0,0,0,0,0.76,0,0,0,0.85,0,7.12,0,2.98,0.56,18.75
 48-58,0,0,0,0,4.26,0,0,0,0.41,0,0,25.66,0,5.65,0,1.85
 60-70,0,0,0,0,3.22,2.57,0,4.57,0,0,0,2.45,2.01,0,0,0
 72-82,0,0,0,0,23.66,2.11,2.17,0,0,0,0,10.69,0,0.72,0,0
 84-94,0,0,0,0,5.93,6.09,0,0,0,0,0,8.63,0,0,0,0
 96-106,0,0,0,0,31.28,2.98,0,0,0,0,1.11,0,0,0,0,4.47
108-118,0,0,1.57,0.74,1.06,1.07,0,0,0.54,0,2.97,4.05,0,0,0,0
120,0,0,7.53,0,8.02,0,0,0,0,0,1.82,18.52,0,0,0,0
