stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  7-9,5,0,0,0,0,0,0,0,0,0,0,0,0,12.65,0,0,0,13.43,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03,0,0,0,10.59,0,6.88,0,0,0,0
 14-21,0,2.13,0,2.09,0,0,1.19,0,0,0,0,4.74,0.95,21.99,0,0,0,0,2.46,0,2.84,3.85,0,0
 24-34,0,0,0,3.33,0,0,0,0,0,0,0.59,1.21,0,10.81,0,0,1.55,0,3.69,0.69,0,2.28,0.64,0
 36-46,0,0,0,4.57,0,0,1.08,0,0,0.89,0,4.43,0.56,53.48,0,0.81,0,0,0,0,0,11.96,1.6,0
 48-58,0,0,0,2.29,0,0,0,0,0,0.4,0,1.92,0,15.59,0.47,0.59,0,0,0.43,0,0,0.67,0,0.54
 60-70,0,0,0,15.73,1.37,0,0.64,0,0,0,0,2.58,0.9,3.44,0,2.56,0,0,0,0,0,2.41,0,0
 72-82,0,0,7.89,5.66,0,2.27,0,0,0,0,0,4.6,0,4.24,0,1.41,0,0,0.51,0,0,3.44,1.47,0
 84-94,0,7.21,0,10.64,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.83,0,0,2.63,0.71,0.96,0,0,3.09,0,14.53,0,0,0,0,0,0,0,0,0,0
108-118,0,0.88,0,7.83,0,0,0,0.5,0,0,0,0,0,8.42,1.12,0,0,0,0,0,0,0,0,0
120,0,0,0,4.36,0,0,0,0,0,0,0,3.25,0,5.39,0,0,11.98,0,0,0,0,0,0,0
