stage,axial,blastomeres,eye,fast_muscle,glial,immune,liver,mesenchyme,muscle,neural,notochord,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.8,1.28,0,1.12,0,0.88,0,0,0,0
 24-34,0,0,0,0.9,0,0,0,0,0,0.82,0,0,3.13,0,0,0,0,0
 36-46,0,0,0,1.64,0,12.67,0,2.5,1.81,4.86,0.55,0,0,0,0.64,0,0,0
 48-58,0,0,0,0,0,7.06,0.97,3.83,1.23,0,0,0,0,0,0,0,0,0
 60-70,0,0,9.86,0,0.88,11.97,0,7.25,2.02,0,0,0,0,0,0,0,0,7.24
 72-82,0,0,2.58,0,0.65,20.03,1.8,5.21,0,3.55,0,0,0,0,5.73,0,0.77,0
 84-94,0,0,0.73,0,0,18.76,0,11.35,0,0,0,0,0,0,0,1.24,0,4.88
 96-106,0,0,0,0,0,38.11,0,2.37,0,2.69,0,0,0,0,0,0,3.34,0
108-118,0,0,0.68,0,0,37.07,0.85,5.71,1.86,0,0,0,0,0,0,0,2.21,0
120,2.37,0,3.65,0,0,74.58,0,1.51,0,0,0,0,0,0,0,0,0,4.37
