stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,180.42,4449.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.79,0,0,0,0,0,0,0,0,0,0,0
  5-6,354.5,5525.83,10.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.17,0,0,0,31.43,0,79.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,197.22,61.56,26.59,0,0,0,39.68,0,0,0,0,48.54,0,0,0,0,0,0,0,0,0,0,0,1163.54,103.39,0,0,513.39,0,3.92,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.54,10.96,0,7.16,0,50.61,0,0,0,0,11.21,0,0,0,0,0,0,0,0,0,0,0,345.73,116.07,0,0,177.68,0,0,0,0,14.62,0,0,0,0,0,0,0,0
 14-21,0,0,3,44.81,15.94,0,4.36,0.95,0,2.31,2.82,9.12,0,0,0,0.87,0,21.91,0,35.67,0,0,13.63,76.9,404.15,0,1.78,17.72,0,6.24,0,35.36,12.3,0,16.07,24.29,0,0,4.93,0,0
 24-34,0,0,1.43,15.57,1.46,0,11.25,1.29,1.5,6.83,0.67,0,4.53,4.39,0,12.22,0,38.83,0,64.25,0,0,27.26,66.72,66.28,0,1.71,0,0,2.07,0,0,12.25,0,3.51,18.49,0,0,63.28,0,0
 36-46,0,0,0,5.74,0,0,4.9,0,4.83,2.51,0,0,2.93,11.3,0,11.37,1.61,2.52,16.25,102.39,1.08,3.97,17.45,68.04,65.83,0,3.08,0,0,2.81,0,0,0,0,0,13.96,0,0,13.93,0,0
 48-58,0,0,0,14.66,3.09,0,4.26,2.23,4.83,6.77,0,0,0,6.8,0,25.03,0.51,1.39,20.44,115.94,0,1.17,14.58,40.52,33.72,0,0.45,0,0.61,3.01,0,0,0,0,0,9.52,0,1.05,14.53,0,0
 60-70,0.81,0,0,25.26,0,0,8.17,2.33,2.62,47.1,7.48,0,1.38,10.68,0,20.49,0,0,14.22,145.72,0,2.18,6.11,19.73,15.41,0,1.03,0,0,0,0,0,0.58,0,0,0,0,4.01,25.71,0,0
 72-82,0,0,0,2.94,3.62,0,28.73,1.25,9.69,38.58,3.43,0,2.16,2.77,0,12.06,0,0,11.18,267.87,0,5.86,7.46,21.31,1.22,0,2.55,0,3.19,0,0,0,1.23,0,0,1.69,0.87,4.04,32.01,2,0
 84-94,0,0,0,4.12,2.95,0,46.19,2.95,13.52,31.49,4.23,0,4.49,14.73,0,15.55,2.66,3.85,11.26,245.69,0,6.12,14.97,3.68,7.64,0.65,9.26,0,0,0,0,0,1.04,0,0,0,0,5.79,36.75,2.99,0.8
 96-106,0,0,0,2.43,0,0,32.14,0,5.29,58.21,5.3,0,5.34,14.21,2.81,44.33,1.05,0.82,2.92,225.16,0,6.5,11.6,55.94,4.53,2.28,2.11,0,0.79,3.03,0,0,1.55,9.08,0,7.41,0,2.52,31.41,6.25,0
108-118,0,0,0,7.73,3.21,0,27.07,3.07,2.61,36.95,8.84,0,0,13.69,0,58.12,0.51,5.68,25.15,269.73,0,2.07,11.14,51.84,4.11,0,1.8,0,1.8,1.18,0,0,1.06,0,0,0,0,5.17,39.25,3.3,6.48
120,2.37,0,4.41,9.04,0,2.02,15.02,6.03,3.1,59.28,4.31,0,0,19.64,0,27.5,0,4.46,24.97,175.6,0,20.98,10.22,34.88,10.01,0,0,0,9.21,0,0,0,0,0,0,0,0,12.72,39.73,3.6,9.75
