stage,endocrine_pancreas,eye,glial,gut,mesenchyme,neural,pericytes,periderm
  7-9,0,0,0,0,0,15.43,0,0
 10-12,0,0,0,0,0,9.01,0,0
 36-46,0,0,0,0,0,6.32,0,0
 48-58,0,0,0,0.43,0,0,0,0
 72-82,0.5,0,0,0.54,0.54,0,0,1.9
 84-94,0,0,0,14.49,0,0,0,0
 96-106,0,6.43,0,10.22,0,1.16,0,0
108-118,0,0,1.59,6.43,0,0,0.76,0
120,0,0,0,11.86,0,0,0,0
