stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,44.63,843.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.85,545.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.45,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.86,4.71,0,21.29,0,0,0,35.6,0,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,335.85,17.39,0,0,86.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.94,0,29.15,0,0,0,64.98,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,291.93,30.39,0,0,196.47,0,0,4.37,0,16.35,0,0,3.28,0,0,0,0
 14-21,0,0,1.24,1.33,3.94,4.14,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,16.27,0,0,6.4,39.03,4.15,2.8,0,1.53,0,2.59,0,4.02,0,0,3.82,13.96,0,0,0,0
 24-34,0,0,0.97,0,1.37,0.62,0,5.71,0,0,0,2.62,0,0,0.67,1.7,0,0,0,0,0,22.41,0,0,3.4,164.04,0.6,4.28,1.76,0,0,5.73,0,0,0,0,1.28,44.45,0,7.37,0,0
 36-46,0,0,0,0,9.23,0,0,19.23,0,0,1.17,6.05,0,0,0,0,0,0,0,0,0,22.87,0.59,0,3.39,233.92,0.57,0,2.21,0,0,17.31,0,0,0,0,0,36.57,0,0.8,0,1.26
 48-58,0,0,0,0,4.19,0,0,57.09,0.67,2.05,1.37,20.08,0,0,0,0,0,3.8,0.5,0,1.1,19.67,0,0.52,3.05,278.58,0,4.75,2.35,0,0,2.04,0,0,0,2.06,0,44.43,0,2.3,0,0
 60-70,0,0,0.86,0,5.65,0,0,63.75,0,0.99,0,12.55,0.63,0,0.88,0,0,0,0,0,0,27.41,0,1.34,3.41,229.11,1.1,0,1.74,0,0,7,0,0,0,0,0,23.98,0,2.79,0,0
 72-82,0,0,0,0,0,2.36,0,100.11,0,0,1.06,26.83,0.65,0.6,0,0,0,0,0,0,2.82,21.05,0.66,0,1.16,250.53,0,0.93,1.06,0,2.01,1.51,0,0,0,0,0,21.45,0,4.75,1.82,2.94
 84-94,0,0,0,0,4.69,0,1.17,93.77,8.29,1.15,0,9.65,1.36,0,0.7,1.52,0,0.58,1.05,0,0.95,36.36,0,0.58,0,196.82,1.14,0,2.27,0,10.51,11.14,0,0,0,0,0,3.99,0,2.74,0,0
 96-106,0,0,0,0,6.25,0,1.14,60.28,0,1.32,0,11.58,0.66,0,0,0,0.64,1.6,0.75,0,0,12.84,0,1.06,2.4,115.96,0,2.71,0,0,0,12.29,0,0,0,0,0,16.49,0.83,3.67,0,0
108-118,0,0,0,1.47,9.94,3.98,0.43,45.64,0,3.34,0.52,18.39,2.02,0,0,1.05,0,2.43,0,1.14,5.88,14.33,0,4.93,2.73,135,0.62,0.6,0,0,4.36,13.06,0,0,0.48,0.43,0,12.83,0,4.46,0,5.09
120,0,0,0,0,3.04,0,0,53.93,0,2.14,0,37.75,3.21,0,0,2.3,0,0,0,0,0,13.43,0,0,0,393.67,0,0,0,0,13.66,10.17,0,0,0,0,0,51.59,0,9.03,3.6,0
