stage,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,periderm,pronephros,spinal_cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,8.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.86,0,0.6,0,0,0,1.11,1.04
 48-58,0.47,0,0,0,2.21,0,0,0,1.02,0,0,0,0,0,0,0,0
 60-70,0,0,1.23,0,0,0,0,0,0,0,0,0,0,11.08,0,0,0
 72-82,5.57,0.92,0,0,0,0,0,0,0,0,0,0,5.48,0,0,0,0
 84-94,11.02,0,0,0,0,1.19,0,0,3.01,0,0,0,0,4.49,0,0,0
 96-106,39.56,0,0,2.99,3.84,0,0,0.63,1,0,3.32,0,3.33,2.9,0,0,1.82
108-118,38.3,0,0,5.3,1.09,0,0,1.29,1.3,3.16,0,0,5.41,0.52,0,0,0
120,38.62,1,0,4.67,0,0,3.53,0,3.12,0,0,0,14.96,19.12,0,0,0
