stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.02,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,8.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,45.98,0,0,0,0,0,0,0,0,0,0,0,31.36,5.15,0,0,5.69,0,0,3.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.18,0,7.09,2.18,0,5.87,0,0,0,1.2,0,5.89,0,0,0,0,0,0,0,0.83,0,0,5.81,297.68,9.24,5.73,0,0.95,0,3.47,0,0,0,0.87,214.29,0,0,0,0,0
 24-34,0,0,19.93,0,8.43,0,0,64.36,0,0,0.68,5.83,0,0,0.6,0,0,0,0,0,0,18.48,0,0,13,2713.84,0.78,93.98,10.72,0,0,7.37,0,1.45,0,2.6,1012.45,0,0,13.88,0,0
 36-46,0,0,30.51,0,12.51,1.05,0,278.49,1.17,0.57,6.11,14.99,0,0,0,9.17,0,0,0.61,13.4,6.22,107.12,0,0,26.94,6595.36,1.47,109.21,8.35,0,0,19.21,0,2.76,0.67,0,1813.43,0,0,9.51,0,3.66
 48-58,0,0,25.76,0,40.48,0,0,1325.66,3.88,10.67,14.38,65.1,0,5.5,1.42,11,0,17.44,0,0,5.82,173.98,1.33,12.07,38.76,10548.46,5.5,52.55,8.59,0,0,13.49,0,2.09,0.69,0,1808.83,0,0,8.26,0,35.74
 60-70,2.52,0,10.18,0,46.21,0.79,0,5714.45,3.93,12.16,24.42,127.38,3.31,1.21,1.5,3.88,0.58,22.07,3.22,0,0,480.5,7.35,0.75,43.82,14715.46,0.65,60.32,10.81,0,0,33.21,0,8.48,0,0,1601.43,1.73,0,8.77,0,63.02
 72-82,0,0,37.78,0,73.62,4.67,0,9019.4,6.88,0,38.84,224.45,19.12,0.52,2.59,9.83,1.32,15.85,5.24,4.31,3.59,817.93,4.89,3.91,49.5,15738.74,0,115.17,32.99,0,4.15,10.5,1.65,3.6,0.58,0,1019.35,6.85,3.26,8.97,6.95,30.9
 84-94,0,0,32.28,0,98.53,30.79,1.52,6813.33,1.69,15.8,21.7,251.35,31.34,0,0,7.69,2.84,25.17,6.99,11.58,0.73,846.18,5.78,6.04,32.45,10702.86,1.89,92.78,51.75,0,4.73,36.41,0,0,0.69,0,661.43,17.42,4.13,8.88,10.48,37.98
 96-106,0,0,32.42,1.07,86,40.87,1.77,6824.87,2.24,3.98,14.24,226.79,44.06,0,4.05,15.91,1.45,3.71,18.73,70.59,0,833.96,8.46,15.44,26.44,10241.87,3.19,154.25,56.72,0,0,45.19,7.97,3.54,2.94,0,411.9,27.26,13.45,4.26,5.73,66.12
108-118,0,0,29.61,0,115.03,4.56,7.58,5931.73,1.85,1.81,38.45,216.79,30.15,0,2.29,16.4,1.9,6.23,8.71,9.48,2.16,1029.24,3.55,19.05,24.45,9915.97,3.76,110.89,45.4,0,1.8,16.34,0,6.32,0,0,239.54,48.04,3.94,11.26,8.99,94.54
120,0,0,37.14,0,93.87,10.8,1.06,4922.49,0,3.68,13.68,308.29,37.05,0,0,25.28,0,3.86,27.78,29.84,0,1003.66,9.49,0,56.59,15108.6,3.33,157.18,57.46,0,0,29.45,4.99,0,1.63,0,484.24,28.87,0,49.35,0,111.65
