stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.01,0,0,0,9.92,0,0,0,0,5.47,0,0,0,0,0,0,0,76.3,0,0,20.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.18,0,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,9.82,6.22,5.8,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,91.5,0,0,0,0,0,0,0,0,0,0,4.52,0,0,0,0,0,0,0
 24-34,0,0,0,0,2.87,0,0.97,0,0,0,0,0,303.24,0,0,2.71,0,0,0,13.77,0,0,0,42.11,0,0,0,0,0,1.41,0
 36-46,0,0,0,0.84,0,0,1.43,0,0,0,0,0,334.14,0,0,0,0,0,0,9.22,0,0,0,23.89,0,0,0,0,0,2.86,0
 48-58,0,0,0,0,2.07,0,5.53,0,0,0,3.41,0,461.1,0,0,0,0.48,0,0,14.98,0,0,0,9.73,0,0,2.61,0,0,5.11,0
 60-70,0,0,0,0,0,0,7.04,0,0,0.88,0,0,472.04,0,0,7.45,0,0,0,15.39,0,0,0,3.67,0,0,2.61,0,0,4.75,0
 72-82,0,0,0,3.2,2.04,0,7.61,0,0,0.67,0,0,612.53,0,0,15.91,2.41,0,0,13.06,0,0,0,1.2,2,0,0,0,0.91,9.92,0
 84-94,0,0,0,0.62,1.56,0,0,0,0,0,1.83,0,843.64,0,0,9.29,5.05,0,0.79,11.46,0,0,0,20.25,0,0,0.79,0.7,0,16.38,0
 96-106,0,0.81,0,2.78,2.5,0,14.36,0.89,0,0,1.79,0,1025.1,3.34,0.64,15.05,8.03,0,0,16.79,0,0,0,43.64,0,0.76,0,0,0,15.64,0.61
108-118,0,0.77,0,7.47,5.03,0.72,9.84,0,0,0,2.35,0,894.31,0,2.22,14.17,2.59,1.01,0,18.3,0,0.63,0,14.46,0.83,0,0,1.35,2.3,14.15,0
120,0,0,0,0,1.9,0,1.29,0,3.99,0,1.09,0,1142.12,0,0,4.24,0,0,0,14.73,0,0,0,17.13,0,0,0,0,0,8.03,0
