stage,blastomeres,eye,glial,mesenchyme,neural,olfactory,spinal_cord
  3-4,69.59,0,0,0,0,0,0
  5-6,24.91,0,0,0,0,0,0
 48-58,0,0,1.22,0,0,3.91,0.89
 60-70,0,0,0,0,0,2.52,0
 72-82,0,0,1.37,1.32,3.5,4.35,0
 84-94,0,0.91,0,0,0,1.9,0
 96-106,0,0,5.01,0,0,1.03,0
108-118,0,0,1.32,0,0,0.99,0
120,0,0,0,0,8.51,0,0
